Tdu_1	Tdu_2	Tdu_3	Tpo_1	Tpo_2	Tpo_3
TDU_consensed_contig_48752|TPO_consensed_contig_106427	0.934886582901468	0.443905750940561	0.500945282219786	2.81297070284171	2.91128834842751	2.57380274349977
TDU_consensed_contig_3076|TPO_consensed_contig_4409	6.46335246197842	6.11284526810322	6.44057993469772	6.65571529140006	6.63355743138702	6.57271596752304
TDU_consensed_contig_12660|TPO_consensed_contig_35704	5.34529961971309	4.36551785225585	5.67162621506052	5.30631685630672	5.50417183008954	5.04738625258219
TDU_consensed_contig_36157|TPO_consensed_contig_32174	4.13159979505809	4.23692123372564	4.34098090307205	4.74005833192729	4.56395570828706	4.7078784971036
TDU_consensed_contig_35369|TPO_consensed_contig_85862	4.38798363574865	4.23050211283137	4.28675242360903	4.49136575613375	4.20610224950193	4.49491477210679
TDU_consensed_contig_33692|TPO_consensed_contig_46821	4.14292991905748	4.34783393269322	4.09720537427533	5.0649747802887	4.92100350326072	4.75463058220469
TDU_consensed_contig_69335|TPO_consensed_contig_9777	4.8510178508764	3.89117975515162	4.7315775430876	4.01752431834047	4.09224281556869	3.88292749058111
TDU_consensed_contig_27762|TPO_consensed_contig_116132	6.20505523432923	6.12760220524708	6.02746297592384	6.35817739540843	6.54418532621237	6.61415298891199
TDU_consensed_contig_59196|TPO_consensed_contig_84448	-0.230699482816507	1.02145078009923	-0.834657749564653	2.29617970476213	0.906949412703175	2.42758200264873
TDU_consensed_contig_56821|TPO_consensed_contig_19898	1.27409266922067	1.85616616554883	1.61851487860096	0.917668081508405	0.871759984240875	1.27201229418349
TDU_consensed_contig_59592|TPO_consensed_contig_32672	5.02643348927379	4.85303554217016	4.56906443648636	4.17467869971443	4.22016029048943	4.05881565730012
TDU_consensed_contig_80707|TPO_consensed_contig_12642	8.29698884520719	8.43494785440842	8.39267167764485	7.97092425959661	7.76956810003594	8.10427567625703
TDU_consensed_contig_68449|TPO_consensed_contig_91407	4.26547953891596	4.45633690048937	4.7228515384157	4.867514242019	5.07203801993835	4.73921428191501
TDU_consensed_contig_68151|TPO_consensed_contig_33765	7.81147749296606	7.18868785019696	7.56642492614041	6.77664369580043	7.14131960611805	6.87089395592275
TDU_consensed_contig_56748|TPO_consensed_contig_9392	3.97135813956661	3.79440299802469	4.06073720720604	3.02423974570645	3.70433749000173	2.8945715815623
TDU_consensed_contig_11053|TPO_consensed_contig_39553	9.29535028978118	9.20182137664454	9.00851555886485	9.32768122249195	9.19363241852363	9.25602177185132
TDU_consensed_contig_4745|TPO_consensed_contig_27969	3.03152236594659	2.57635604696421	2.76737826451544	3.03314529892834	2.90259738816347	2.94919116612562
TDU_consensed_contig_37494|TPO_consensed_contig_37012	8.59352824576823	8.55524208812613	8.36466404368673	7.74226623577002	7.5422632469055	7.73872985803417
TDU_consensed_contig_39883|TPO_consensed_contig_26319	2.56547170074842	2.67420337036235	2.70966276665916	1.82840074341132	2.03175586843945	1.57958509609378
TDU_consensed_contig_8405|TPO_consensed_contig_33570	8.42799449050561	8.33433373538359	8.24203062009151	8.15836402572091	8.20179156967395	8.15235352454279
TDU_consensed_contig_46251|TPO_consensed_contig_32522	3.69170411216334	3.73215071957163	3.8525096114834	3.75762766899794	3.43579182709243	3.75590786873424
TDU_consensed_contig_34448|TPO_consensed_contig_43120	1.21805863430634	0.830928874049808	0.881549284434756	2.14006050284485	1.75107850181841	2.16069527131933
TDU_consensed_contig_57333|TPO_consensed_contig_17762	5.34693347610616	5.27718510393937	5.93855996903451	6.41123002617633	6.62367591987305	6.39064504383386
TDU_consensed_contig_8604|TPO_consensed_contig_16601	4.75337251205576	4.74008074761483	4.7545921095596	4.27943644092756	4.35368396332682	4.34342155498473
TDU_consensed_contig_56911|TPO_consensed_contig_37656	6.93570112797301	6.81466021150164	6.90327361170728	5.96671793718937	5.91831140499703	6.08496794515608
TDU_consensed_contig_35746|TPO_consensed_contig_13623	4.08144759127827	3.46866185002613	4.23450427494274	1.34706087376432	1.75107850181841	2.03165332631759
TDU_consensed_contig_16676|TPO_consensed_contig_13149	3.71213199386113	3.1730819970012	4.14153128916428	3.24727010428119	3.64304565159096	3.50558451465
TDU_consensed_contig_28098|TPO_consensed_contig_32709	5.2046047440708	4.72417686169966	5.00784225877391	4.89219739399229	4.81152056240873	4.78497760908347
TDU_consensed_contig_40286|TPO_consensed_contig_17932	4.33628018399928	3.9113858983514	3.95044436564582	3.49298041219584	3.67911490629848	3.44985116648976
TDU_consensed_contig_6837|TPO_consensed_contig_38786	3.99655869369176	3.89929620435599	4.06073720720604	0.470209104537184	0.906949412703175	0.228510655546901
TDU_consensed_contig_33969|TPO_consensed_contig_43357	2.33463421115572	2.31028118681037	2.63721097231087	2.00173234629688	2.70683566385693	2.52669014766165
TDU_consensed_contig_28679|TPO_consensed_contig_46903	2.83131017945892	2.07258962909104	2.22423593948892	3.61069032808701	3.45375091843074	3.61661582703875
TDU_consensed_contig_32845|TPO_consensed_contig_16196	0.863627899731646	1.60144702792704	1.14806425900351	2.57759263991078	2.84024901149566	2.49031775799669
TDU_consensed_contig_75315|TPO_consensed_contig_27827	4.88964348977524	4.65155837361774	5.20661026880708	4.74819385183695	4.82767891577676	4.75463058220469
TDU_consensed_contig_60325|TPO_consensed_contig_13545	1.65787923451507	1.13578345557823	1.48727034532271	1.74413182651371	1.94976249624215	1.79370990144663
TDU_consensed_contig_9119|TPO_consensed_contig_37763	2.93053455836176	2.82667940104845	2.99702650185469	3.16052460540457	2.91128834842751	3.29679539511338
TDU_consensed_contig_36823|TPO_consensed_contig_38920	2.16717746530415	2.23531912912914	2.45250492716203	2.85375631768821	2.83111799974353	2.82811993223246
TDU_consensed_contig_12946|TPO_consensed_contig_38940	3.48762511363689	3.44667750019061	3.39141032991519	3.65751618420773	3.99338942864241	4.13932162052676
TDU_consensed_contig_12496|TPO_consensed_contig_37721	7.19306945535533	6.43799804289131	7.21363449440501	6.30493870459464	6.65311969776553	6.42637925556707
TDU_consensed_contig_34338|TPO_consensed_contig_18819	0.826633692249445	-0.720481066960322	2.53457606010107	4.52647732418393	4.44330196919971	5.91929260354238
TDU_consensed_contig_60709|TPO_consensed_contig_84476	5.50455921259803	5.69007993821223	5.48812883689275	5.63356145205601	5.52414024632214	5.55264526889786
TDU_consensed_contig_2774|TPO_consensed_contig_84555	8.13904521707755	8.14445217334862	8.22565217675849	8.46723458027521	8.37690990318401	8.41783096953664
TDU_consensed_contig_101853|TPO_consensed_contig_16816	7.01902258710657	6.85225182370405	6.87006932697954	6.79246504740707	6.74288565908265	6.73565805704435
TDU_consensed_contig_64901|TPO_consensed_contig_28516	0.0517002478842182	-0.369008696458944	-0.368994177215841	0.917668081508405	0.554277794384704	0.722325268209862
TDU_consensed_contig_39518|TPO_consensed_contig_96969	4.59464611413181	4.23050211283137	4.64493006531577	5.56152427128313	5.62928375034647	5.68190728729047
TDU_consensed_contig_12648|TPO_consensed_contig_16316	2.13727597959029	1.90535371517636	2.3044062881729	1.40309490867865	1.73158232619261	1.69061640848252
TDU_consensed_contig_12371|TPO_consensed_contig_84318	7.02872570537397	6.90761874056408	7.07423519895501	6.96235362497468	7.11992183457134	6.97327586028123
TDU_consensed_contig_33436|TPO_consensed_contig_27538	8.08817916041575	8.02435277053922	8.16493965658848	8.26474312289103	8.17045902571658	8.27613539717235
TDU_consensed_contig_102177|TPO_consensed_contig_20130	2.36074705147485	2.14263712661929	2.27287071473979	1.28876223319965	1.58719241685744	1.75335216383049
TDU_consensed_contig_33688|TPO_consensed_contig_34221	5.31890309071471	5.11066234282536	5.40329195268336	6.43662279153931	6.64010770389208	6.45024572277306
TDU_consensed_contig_56846|TPO_consensed_contig_34589	2.01105826338687	1.99896676594785	1.95293391767152	4.05735585252022	4.13368076976396	4.11165264838281
TDU_consensed_contig_13355|TPO_consensed_contig_100955	2.22518306873972	1.43276519333536	1.76170951442875	4.43536371215099	4.23061464812659	4.49797133054013
TDU_consensed_contig_20226|TPO_consensed_contig_42203	5.70641582729533	5.20371713174331	5.37943004035437	5.70077545731933	5.53120536837966	5.82264480216631
TDU_consensed_contig_61588|TPO_consensed_contig_105827	1.7790156720167	1.69766234318634	2.06764557654821	1.80779046373603	1.52059466812842	1.87118865412434
TDU_consensed_contig_27936|TPO_consensed_contig_35859	5.39036235853138	5.29575087274298	5.58439952116653	5.51619209524664	5.38755714738352	5.56435670847921
TDU_consensed_contig_19428|TPO_consensed_contig_40171	4.05370260079537	4.01586254183695	4.06073720720604	3.27004997293748	3.0197500151793	3.18744799892502
TDU_consensed_contig_8472|TPO_consensed_contig_16638	1.97769966644044	1.49835353496294	1.59320379007177	2.17266516827678	2.29346121380073	2.55043875043426
TDU_consensed_contig_16874|TPO_consensed_contig_58867	9.30136680547567	9.09578538764631	9.18261465105526	9.25174765346991	9.30674850604406	9.26770949180163
TDU_consensed_contig_45868|TPO_consensed_contig_35616	7.63716359743557	7.65680427066897	7.70984677214897	7.73273109870127	7.73510501873751	7.7306320873304
TDU_consensed_contig_36218|TPO_consensed_contig_95174	5.44478079950431	5.55532234709201	5.67765944932474	5.70356732087253	5.69115063176792	5.69927327061298
TDU_consensed_contig_34888|TPO_consensed_contig_91844	3.11059393693779	3.4130597839878	3.48383126135594	2.3541853081977	2.19724589854143	1.99750510390575
TDU_consensed_contig_57766|TPO_consensed_contig_28199	0.287767606117743	1.36405244325135	0.500945282219786	2.29617970476213	2.06329144187256	2.09761658869595
TDU_consensed_contig_37324|TPO_consensed_contig_36079	5.33874562756292	5.04084089332779	5.00784225877391	5.50982608363377	5.60404258552348	5.65614419122538
TDU_consensed_contig_82274|TPO_consensed_contig_102463	5.44630584725825	5.34709237778566	5.72940098490626	5.89280909425199	5.91182979900279	5.79059728957929
TDU_consensed_contig_69610|TPO_consensed_contig_9736	1.5710744069778	1.60144702792704	1.21596832350532	0.571492440374365	1.24615549902237	0.988840242778618
TDU_consensed_contig_62134|TPO_consensed_contig_19579	1.09900596266257	1.82241737419429	1.78425208307984	1.94623723370518	2.49191191342433	2.414700711352
TDU_consensed_contig_45014|TPO_consensed_contig_8890	3.59602076410803	3.75915983990461	3.72430954262356	3.80519335224999	3.72420279582702	3.90151319098114
TDU_consensed_contig_33119|TPO_consensed_contig_35778	1.47871038882914	1.73442089319646	1.61851487860096	1.34706087376432	1.5431372367795	1.77367214821008
TDU_consensed_contig_27373|TPO_consensed_contig_59761	2.5766554392411	2.31028118681037	1.89196590038009	2.22023085152884	2.79400482672643	1.79370990144663
TDU_consensed_contig_59544|TPO_consensed_contig_101475	3.29793941117503	3.50634632571647	3.5771558488399	4.16255514063194	4.16308703706023	4.13147019956551
TDU_consensed_contig_23462|TPO_consensed_contig_85074	5.58567881988657	5.26781184926201	5.65948352336029	4.92605935176755	5.0167328756184	4.94359714965239
TDU_consensed_contig_59252|TPO_consensed_contig_10000	8.4360762977979	8.33358520690664	8.24330238942712	8.22059635295567	8.10283297889023	8.16514859454947
TDU_consensed_contig_59187|TPO_consensed_contig_100864	5.67554110375155	5.62794185188595	5.75245002298806	5.31364484687276	5.26915732438399	5.20719193422343
TDU_consensed_contig_74326|TPO_consensed_contig_47243	2.79346682831425	2.56619618074399	2.88676699370578	3.1847044178997	3.63781848992741	3.23950965449616
TDU_consensed_contig_59383|TPO_consensed_contig_91061	13.1258602981154	11.6592614013259	13.6497006393881	13.9325556755304	11.3190090631293	13.8691083636149
TDU_consensed_contig_45891|TPO_consensed_contig_83920	4.57804733036777	4.47002481190444	5.10057747173783	4.85249906702835	4.60738913084427	4.81224585288405
TDU_consensed_contig_80841|TPO_consensed_contig_85983	3.51113186652152	3.7412100588591	3.62164776808593	3.20848564385574	3.26322901238131	3.30379878285114
TDU_consensed_contig_74539|TPO_consensed_contig_37333	4.09706555209314	4.19137578154155	4.38589332494763	4.30539823479151	4.14477847864729	4.26305698894901
TDU_consensed_contig_38621|TPO_consensed_contig_16099	2.82194199692472	2.87686515821667	3.09945431477889	2.57759263991078	2.07880444124389	2.2211311251813
TDU_consensed_contig_73880|TPO_consensed_contig_20205	1.8727301068389	2.24808642520302	2.15672912013064	2.6944739402064	2.79400482672643	3.06912803173625
TDU_consensed_contig_42577|TPO_consensed_contig_49292	2.02745270163754	2.04358975736848	2.57392472757689	0.838596510517206	0.798696522051151	0.679890001889466
TDU_consensed_contig_27733|TPO_consensed_contig_16166	6.95778912352718	5.94852614334411	7.24850495425206	7.24415749241385	7.06840005455541	7.20508939067778
TDU_consensed_contig_13259|TPO_consensed_contig_13948	2.74472249446283	2.70230870804271	2.66176807655485	1.40309490867865	1.32632584770636	1.15295962253972
TDU_consensed_contig_8818|TPO_consensed_contig_13036	8.66992258626107	8.62005971642153	8.6481021981425	8.31215935820391	8.20400378361794	8.32901209620354
TDU_consensed_contig_7293|TPO_consensed_contig_37856	0.899697154439168	0.897271368878504	1.14806425900351	0.878673949892541	0.835690729533353	0.722325268209862
TDU_consensed_contig_74796|TPO_consensed_contig_89874	5.11731085315237	4.95194427501117	5.29364350821287	4.52332044099675	4.38833550998178	4.75463058220469
TDU_consensed_contig_35545|TPO_consensed_contig_107904	7.29095400594258	7.0955094585949	7.15591899654872	7.03785410904027	7.09486785069037	7.13220808810306
TDU_consensed_contig_74127|TPO_consensed_contig_106173	7.07727049295102	6.90459791578377	6.98825445340451	6.73085069729166	6.67561205821418	6.77587738180601
TDU_consensed_contig_13517|TPO_consensed_contig_38353	1.75951949639091	0.796577369259031	2.40964944820024	3.66898896865168	3.84252276301578	3.26843683995966
TDU_consensed_contig_15885|TPO_consensed_contig_12447	0.582214964582998	0.960696749020138	0.83911401811436	1.06388882235945	0.974853477204978	0.988840242778618
TDU_consensed_contig_38977|TPO_consensed_contig_16040	5.39194599759368	5.26624370232404	5.2818099897211	5.10775612227042	4.89275706553591	5.07425670774133
TDU_consensed_contig_7261|TPO_consensed_contig_8675	6.25898577683046	6.32428988276227	6.45206501404965	5.97019990599356	6.2448668030538	6.03849200294465
TDU_consensed_contig_17492|TPO_consensed_contig_16892	6.72381124296682	6.41695179013726	6.53582209015482	5.85940042632922	5.66440971098476	5.82264480216631
TDU_consensed_contig_46444|TPO_consensed_contig_44648	1.30131413795569	1.75245481602672	1.48727034532271	2.14006050284485	1.93278941763843	1.83296933189385
TDU_consensed_contig_67387|TPO_consensed_contig_41956	0.788665842050424	1.36405244325135	0.83911401811436	1.40309490867865	1.89823219560207	1.60248549820386
TDU_consensed_contig_28343|TPO_consensed_contig_13204	3.05570217844171	3.40737987491545	3.42766085618455	4.08331208562284	3.85609052797499	4.07528025871785
TDU_consensed_contig_36365|TPO_consensed_contig_84776	1.18920377163415	1.49835353496294	1.28081946785528	1.78688147397305	1.58719241685744	1.53266404870629
TDU_consensed_contig_29364|TPO_consensed_contig_84941	0.969238087692245	1.13578345557823	1.28081946785528	3.80519335224999	3.54033860342683	3.41146233728545
TDU_consensed_contig_39043|TPO_consensed_contig_39959	3.46372899729072	3.5482424107553	3.21181668023485	3.37184397469421	3.16490517849921	3.58821540123722
