A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
1.32	0.631	2.66	0.02462	0.045986	7.06	0.02462	1
3.65	0.707	5.06	0.00055	0.001901	25.58	0.00055	1
1.48	0.305	1.58	0.14511	0.207081	2.51	0.14511	0
2.36	2.459	12.76	0	6e-06	162.78	0	1
3.39	-0.044	-0.29	0.77703	0.823543	0.08	0.77703	0
-0.71	0.128	0.45	0.66304	0.726756	0.2	0.66304	0
3.17	-1.198	-8.47	1e-05	7.6e-05	71.73	1e-05	-1
0.44	-0.764	-3.24	0.00922	0.020002	10.51	0.00922	-1
8.74	0.681	8.55	1e-05	7.2e-05	73.15	1e-05	1
3.28	4.198	21.05	0	0	443.31	0	1
1.16	-3.167	-8.2	1e-05	9.3e-05	67.24	1e-05	-1
8.82	0.41	5.5	0.00029	0.001148	30.29	0.00029	1
1.86	-0.482	-1.96	0.07928	0.123856	3.84	0.07928	0
1.5	0.853	4.21	0.00193	0.005405	17.74	0.00193	1
0.58	0.659	1.97	0.07776	0.121855	3.89	0.07776	0
2.23	0.16	0.97	0.35684	0.440507	0.94	0.35684	0
9.15	-0.253	-2.99	0.014	0.028408	8.95	0.014	-1
2.16	2.789	10.41	0	2.1e-05	108.4	0	1
4.14	-0.301	-2.35	0.04147	0.0712	5.52	0.04147	0
2.12	-3.699	-10.11	0	2.5e-05	102.12	0	-1
0.85	1.093	3.27	0.00881	0.019267	10.68	0.00881	1
4.31	0.842	7.24	3e-05	0.000207	52.35	3e-05	1
1.32	1.515	5.4	0.00034	0.001274	29.19	0.00034	1
4.27	-0.355	-3.1	0.01173	0.024477	9.59	0.01173	-1
1.73	-0.142	-0.53	0.61003	0.679422	0.28	0.61003	0
6.56	-0.338	-2.84	0.01821	0.035539	8.04	0.01821	-1
5.86	1.342	10.53	0	1.9e-05	110.85	0	1
2.18	-0.137	-0.76	0.46415	0.547237	0.58	0.46415	0
1.09	0.725	2.56	0.02884	0.052563	6.58	0.02884	0
5.67	-0.172	-1.62	0.13836	0.199361	2.61	0.13836	0
0.9	0.942	3.93	0.00301	0.007843	15.44	0.00301	1
3.15	-0.178	-1.32	0.21799	0.29115	1.74	0.21799	0
2.37	-0.592	-3.91	0.00309	0.008022	15.3	0.00309	-1
4.88	0.438	3.38	0.00738	0.016596	11.4	0.00738	1
7.01	0.716	8.29	1e-05	8.7e-05	68.68	1e-05	1
5.24	0.642	5.17	0.00047	0.001664	26.72	0.00047	1
1.74	-0.024	-0.11	0.91468	0.932853	0.01	0.91468	0
6.17	-1.564	-11.58	0	1.1e-05	134.02	0	-1
5.81	-0.224	-2.11	0.06238	0.101312	4.43	0.06238	0
1.2	1.357	3.7	0.00434	0.010589	13.7	0.00434	1
5.07	1.445	11.97	0	9e-06	143.24	0	1
8.06	0.085	1.33	0.21286	0.285444	1.78	0.21286	0
5.2	-0.211	-2.58	0.02799	0.051254	6.67	0.02799	0
4.15	-0.179	-1.63	0.13541	0.195911	2.65	0.13541	0
6.35	-0.154	-1.78	0.10575	0.158157	3.18	0.10575	0
2.47	1.289	8.25	1e-05	9e-05	68.1	1e-05	1
4.66	-0.553	-5.49	3e-04	0.001167	30.11	3e-04	-1
-0.17	0.217	0.65	0.53299	0.611646	0.42	0.53299	0
7.35	-0.171	-1.64	0.13268	0.192324	2.7	0.13268	0
3.29	0.489	3.34	0.00779	0.017412	11.18	0.00779	1
5.52	-0.746	-6.22	0.00011	0.000542	38.7	0.00011	-1
0.1	1.065	3.29	0.00846	0.018604	10.84	0.00846	1
7.27	-0.022	-0.23	0.82072	0.859858	0.05	0.82072	0
8.4	-0.378	-5.47	0.00031	0.00119	29.89	0.00031	-1
0.41	-0.848	-3.24	0.00923	0.020008	10.5	0.00923	-1
3.47	-0.295	-2.34	0.0419	0.071883	5.49	0.0419	0
2.13	0.467	2.49	0.0326	0.058248	6.21	0.0326	0
4	0.883	7.76	2e-05	0.000132	60.27	2e-05	1
5.46	0.316	3.33	0.0079	0.017605	11.12	0.0079	1
5.52	0.031	0.38	0.71512	0.770704	0.14	0.71512	0
4.75	-0.186	-1.67	0.12715	0.18557	2.78	0.12715	0
1.86	0.664	3.26	0.00896	0.019526	10.62	0.00896	1
3.3	1.252	8.81	1e-05	5.9e-05	77.57	1e-05	1
5.09	-0.537	-6.61	7e-05	0.000372	43.63	7e-05	-1
6.38	-0.161	-2.25	0.04942	0.082826	5.04	0.04942	0
1.92	0.192	1.01	0.33499	0.418614	1.03	0.33499	0
