A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
0.39	-0.207	-0.55	0.59277	0.664369	0.31	0.59277	0
4.01	0.067	0.58	0.57753	0.650731	0.33	0.57753	0
7.57	0.01	0.13	0.90205	0.923807	0.02	0.90205	0
4.65	-1.844	-14.11	0	3e-06	199.04	0	-1
4.38	-0.412	-3.84	0.00346	0.008795	14.75	0.00346	-1
4.14	0.234	2.12	0.06119	0.099715	4.48	0.06119	0
0.8	-1.295	-5.98	0.00015	0.000695	35.78	0.00015	-1
5.45	1.154	7.78	2e-05	0.000131	60.52	2e-05	1
5.56	-0.673	-6.09	0.00013	0.000621	37.14	0.00013	-1
2.42	0.275	1.75	0.11079	0.164638	3.08	0.11079	0
5.05	0.594	2.73	0.02173	0.04129	7.46	0.02173	1
5.52	-0.837	-4.17	0.00206	0.005701	17.39	0.00206	-1
0.33	0.069	0.24	0.81543	0.855493	0.06	0.81543	0
6.17	-0.064	-0.62	0.54882	0.625438	0.39	0.54882	0
5.52	0.2	2.21	0.05281	0.087638	4.86	0.05281	0
0.75	1.213	4.11	0.00227	0.006175	16.87	0.00227	1
8.86	-0.133	-1.82	0.09947	0.149942	3.32	0.09947	0
4.76	0.209	1.5	0.16472	0.230406	2.26	0.16472	0
0.65	0.77	3.02	0.01334	0.027272	9.12	0.01334	1
3.12	0.565	3.25	0.00915	0.019855	10.54	0.00915	1
5.32	-0.029	-0.36	0.72839	0.782002	0.13	0.72839	0
4.23	0.372	3.23	0.00946	0.020403	10.41	0.00946	1
1.29	3.487	14.56	0	3e-06	211.91	0	1
2.94	-0.498	-2.55	0.02936	0.053354	6.52	0.02936	0
3.16	-0.129	-0.98	0.34931	0.432817	0.97	0.34931	0
6.13	-0.381	-4.3	0.00169	0.004835	18.46	0.00169	-1
0.74	-0.573	-2.31	0.04403	0.074926	5.35	0.04403	0
6.6	0.834	11.09	0	1.4e-05	123.05	0	1
4.14	0.2	1.84	0.09678	0.146575	3.38	0.09678	0
2.88	-0.433	-1.59	0.14305	0.204821	2.54	0.14305	0
5.27	-1.057	-8.22	1e-05	9.2e-05	67.5	1e-05	-1
1.49	0.192	1.01	0.33907	0.423019	1.01	0.33907	0
0.15	0.509	1.73	0.11554	0.170577	2.99	0.11554	0
0.3	-0.386	-1.52	0.16023	0.224979	2.31	0.16023	0
0.75	-0.497	-1.83	0.09793	0.147898	3.35	0.09793	0
1.71	0.775	3.12	0.01133	0.023778	9.72	0.01133	1
0.39	0.059	0.2	0.84207	0.877237	0.04	0.84207	0
5.39	0.063	0.76	0.46475	0.547757	0.58	0.46475	0
7.01	-0.241	-3.42	0.00683	0.015525	11.72	0.00683	-1
7.25	-0.042	-0.58	0.57647	0.649945	0.33	0.57647	0
12.09	-0.314	-3.33	0.00802	0.017801	11.06	0.00802	-1
6.95	-0.235	-2.64	0.02551	0.047407	6.95	0.02551	-1
1.82	0.854	3.78	0.00383	0.009527	14.28	0.00383	1
2.93	-1.017	-6.3	1e-04	0.000501	39.75	1e-04	-1
2.09	-0.475	-1.94	0.08182	0.127229	3.77	0.08182	0
0.88	-0.815	-2.7	0.02302	0.043388	7.28	0.02302	-1
6.77	0.029	0.37	0.72288	0.777105	0.13	0.72288	0
7.27	-0.271	-3.33	0.00797	0.017715	11.08	0.00797	-1
6.28	-0.021	-0.24	0.81303	0.85365	0.06	0.81303	0
4.03	-0.004	-0.03	0.97561	0.981771	0	0.97561	0
2.37	0.277	1.55	0.15264	0.216091	2.41	0.15264	0
0.96	-0.019	-0.07	0.94218	0.955699	0.01	0.94218	0
8.89	-0.302	-3.68	0.00452	0.010957	13.51	0.00452	-1
1.31	1.006	3.34	0.00779	0.017412	11.18	0.00779	1
3.91	-0.286	-2.35	0.04146	0.0712	5.52	0.04146	0
2.11	-0.541	-2.25	0.04935	0.082732	5.04	0.04935	0
4.58	-0.138	-1.21	0.25434	0.33173	1.47	0.25434	0
1.51	1.859	7.75	2e-05	0.000133	60.14	2e-05	1
3.24	0.589	3.28	0.0086	0.018861	10.78	0.0086	1
3.68	-0.429	-3.94	0.00297	0.007761	15.5	0.00297	-1
2.62	0.351	1.19	0.26221	0.340051	1.42	0.26221	0
4.24	-0.709	-4.38	0.00149	0.004341	19.19	0.00149	-1
5.52	-0.155	-1.55	0.15395	0.217369	2.39	0.15395	0
2.54	-0.241	-1.2	0.25955	0.33721	1.43	0.25955	0
3.24	1.151	8.4	1e-05	8e-05	70.63	1e-05	1
4.5	1.502	6.72	6e-05	0.000332	45.22	6e-05	1
2.15	0.354	1.54	0.15444	0.217861	2.39	0.15444	0
4.66	0.062	0.56	0.58834	0.660808	0.31	0.58834	0
3.63	-1.302	-9.14	0	4.6e-05	83.53	0	-1
2.11	-1.94	-10.98	0	1.5e-05	120.58	0	-1
5.94	-0.911	-9.57	0	3.6e-05	91.6	0	-1
3.82	0.644	3.3	0.00836	0.018406	10.89	0.00836	1
4.02	-0.364	-3.4	0.00706	0.015968	11.58	0.00706	-1
4.72	-0.764	-5.77	0.00021	0.000869	33.25	0.00021	-1
2.08	2.41	10.6	0	1.8e-05	112.33	0	1
5.4	0.606	3.7	0.00434	0.010592	13.69	0.00434	1
6	0.187	2.57	0.02857	0.052169	6.6	0.02857	0
4.66	-0.098	-0.96	0.36239	0.446179	0.91	0.36239	0
9.95	-0.033	-0.39	0.70379	0.761567	0.15	0.70379	0
4.03	-0.325	-2.98	0.01438	0.029047	8.86	0.01438	-1
4.57	0.487	4.28	0.00173	0.004923	18.34	0.00173	1
7.62	0.023	0.3	0.76959	0.817373	0.09	0.76959	0
7.41	-1.495	-13.34	0	4e-06	178.06	0	-1
0.32	0.167	0.55	0.59611	0.667017	0.3	0.59611	0
4.36	-4.016	-17.76	0	1e-06	315.43	0	-1
1.48	-0.782	-2.98	0.01438	0.029048	8.86	0.01438	-1
1.76	0.694	3.8	0.00367	0.009212	14.48	0.00367	1
7.56	0.097	1.42	0.18573	0.254857	2.03	0.18573	0
1.78	-0.935	-4.18	0.00202	0.005615	17.48	0.00202	-1
0.84	2.038	6.86	5e-05	0.000293	47.01	5e-05	1
1.46	1.826	6.28	0.00011	0.000512	39.44	0.00011	1
1.82	0.868	3.78	0.00383	0.009543	14.26	0.00383	1
3.14	0.147	1	0.3412	0.425188	1	0.3412	0
1.23	-0.409	-2.01	0.07342	0.11611	4.03	0.07342	0
4.06	-0.017	-0.17	0.87139	0.900665	0.03	0.87139	0
5.04	0.25	2.05	0.0684	0.109409	4.2	0.0684	0
5.52	0.364	3.62	0.00494	0.011819	13.1	0.00494	1
3.88	0.229	1.98	0.0766	0.120306	3.93	0.0766	0
2.54	1.426	8.35	1e-05	8.3e-05	69.8	1e-05	1
5.69	-0.188	-2.51	0.03168	0.056784	6.29	0.03168	0
6.84	0.078	1.02	0.33157	0.415173	1.04	0.33157	0
5.17	0.299	3.47	0.00633	0.014577	12.03	0.00633	1
2.12	0.819	3.81	0.00361	0.009099	14.55	0.00361	1
4.11	0.149	1.21	0.25368	0.331031	1.47	0.25368	0
2.53	-0.201	-0.97	0.35358	0.437089	0.95	0.35358	0
3.21	-0.779	-5.11	0.00051	0.001791	26.09	0.00051	-1
6.36	0.817	8.8	1e-05	5.9e-05	77.5	1e-05	1
2.43	0.608	4.12	0.00222	0.006082	16.98	0.00222	1
3.02	-0.495	-2.6	0.02728	0.050197	6.75	0.02728	0
4.88	0.804	6.05	0.00014	0.000647	36.62	0.00014	1
1.87	-0.465	-2.21	0.05252	0.087189	4.88	0.05252	0
5.51	-1.515	-18.14	0	1e-06	329.12	0	-1
5.03	-0.787	-6.2	0.00012	0.000557	38.39	0.00012	-1
1.97	-1.861	-9.61	0	3.5e-05	92.28	0	-1
7.63	0.167	2.03	0.07076	0.112603	4.12	0.07076	0
0.99	1.372	4.51	0.00122	0.003677	20.36	0.00122	1
5.8	-0.312	-3.01	0.01369	0.027866	9.03	0.01369	-1
0.89	-0.49	-2.01	0.07314	0.115785	4.04	0.07314	0
4.7	0.362	4.15	0.00214	0.005881	17.19	0.00214	1
2.36	1.121	3.35	0.00773	0.017308	11.21	0.00773	1
-0.44	0.523	1.57	0.14779	0.210372	2.47	0.14779	0
6.5	-0.355	-3.48	0.00621	0.014347	12.11	0.00621	-1
4.23	-0.489	-2.32	0.0439	0.07475	5.36	0.0439	0
4.64	0.93	7.9	2e-05	0.000118	62.37	2e-05	1
0.99	0.132	0.5	0.62912	0.696216	0.25	0.62912	0
3.36	0.02	0.15	0.88593	0.91186	0.02	0.88593	0
0.89	0.525	2.18	0.05542	0.091478	4.74	0.05542	0
8.89	1.881	18.25	0	1e-06	333.05	0	1
5.07	0.673	7.15	4e-05	0.000224	51.07	4e-05	1
1.41	0.297	1.63	0.13449	0.194702	2.67	0.13449	0
3.72	0.8	5.64	0.00024	0.000998	31.79	0.00024	1
0.68	-1.349	-3.41	0.007	0.015872	11.61	0.007	-1
3.29	1.597	12.23	0	7e-06	149.69	0	1
4.58	0.25	2.65	0.02488	0.046378	7.03	0.02488	1
5.63	0.367	4.57	0.00112	0.003424	20.88	0.00112	1
3.27	1.63	6.24	0.00011	0.000531	38.93	0.00011	1
7.4	-0.335	-5.27	4e-04	0.001476	27.79	4e-04	-1
3.56	3.316	19.79	0	0	391.69	0	1
3.7	0.488	4.33	0.0016	0.004622	18.77	0.0016	1
3.89	-0.355	-3.4	0.00704	0.015944	11.59	0.00704	-1
2.11	-0.108	-0.48	0.64372	0.70914	0.23	0.64372	0
2.07	-1.587	-4.25	0.00182	0.005136	18.06	0.00182	-1
1.93	-0.812	-3.77	0.00389	0.009652	14.2	0.00389	-1
4.73	1.327	9.85	0	2.9e-05	97.12	0	1
0.6	-0.355	-1.39	0.19647	0.266753	1.92	0.19647	0
1.71	-0.239	-1.06	0.31682	0.399793	1.11	0.31682	0
0.29	0.934	3.33	0.0079	0.017606	11.12	0.0079	1
6.81	0.135	1.84	0.0968	0.146582	3.38	0.0968	0
5.93	-0.277	-2.42	0.03668	0.064195	5.87	0.03668	0
8.22	0.23	2.19	0.05413	0.089583	4.8	0.05413	0
1.69	-0.403	-1.39	0.19585	0.266076	1.93	0.19585	0
4.88	-0.237	-1.91	0.08558	0.131983	3.66	0.08558	0
7.12	-0.382	-5.37	0.00035	0.001324	28.81	0.00035	-1
1.66	-0.748	-3.06	0.01247	0.025753	9.37	0.01247	-1
6.16	0.491	6.03	0.00015	0.000663	36.31	0.00015	1
1.43	-0.296	-1.33	0.21355	0.286232	1.77	0.21355	0
1.24	-1.237	-4.28	0.00175	0.004968	18.28	0.00175	-1
4.91	-0.03	-0.27	0.79373	0.837183	0.07	0.79373	0
4.37	0.253	2.37	0.04	0.0692	5.62	0.04	0
1.29	-0.047	-0.18	0.85749	0.889656	0.03	0.85749	0
2.41	-1.846	-11.63	0	1e-05	135.29	0	-1
6.08	-0.053	-0.61	0.55828	0.633293	0.37	0.55828	0
4.7	-0.023	-0.22	0.83125	0.868845	0.05	0.83125	0
6.63	-0.108	-1.6	0.14127	0.20281	2.57	0.14127	0
1.71	-1.343	-5.12	5e-04	0.001772	26.18	5e-04	-1
2.45	-0.037	-0.24	0.81275	0.853437	0.06	0.81275	0
6.68	-0.097	-1.07	0.31157	0.394289	1.14	0.31157	0
2.85	2.875	15.4	0	2e-06	237.01	0	1
5.32	-0.154	-1.87	0.09141	0.139584	3.51	0.09141	0
0.82	-0.515	-1.38	0.1972	0.267546	1.92	0.1972	0
6.51	2.502	24.12	0	0	581.86	0	1
7.71	-1.062	-10.21	0	2.4e-05	104.28	0	-1
3.18	0.421	2.82	0.01858	0.036111	7.98	0.01858	1
3.92	-0.427	-3.27	0.00882	0.019281	10.68	0.00882	-1
2.09	2.34	10.79	0	1.6e-05	116.41	0	1
5.05	-0.202	-2.2	0.05317	0.088149	4.85	0.05317	0
5.98	2.484	7.16	4e-05	0.00022	51.33	4e-05	1
6.85	0.059	0.88	0.3979	0.482005	0.78	0.3979	0
6.42	-0.121	-1.6	0.14142	0.202971	2.56	0.14142	0
3.83	-2.279	-10.93	0	1.5e-05	119.37	0	-1
3.86	0.428	2.37	0.04037	0.069716	5.6	0.04037	0
2.21	1.691	5.17	0.00047	0.001665	26.72	0.00047	1
6.81	-0.046	-0.49	0.6364	0.702778	0.24	0.6364	0
1.03	-0.939	-3.06	0.0124	0.02565	9.39	0.0124	-1
4.09	0.509	3.34	0.00784	0.017494	11.15	0.00784	1
7.31	0.339	3.09	0.0119	0.024766	9.54	0.0119	1
7.6	-0.501	-3.62	0.00493	0.011797	13.12	0.00493	-1
4.98	0.26	1.9	0.0875	0.134541	3.61	0.0875	0
0.57	-0.385	-1.21	0.25336	0.33082	1.47	0.25336	0
6.08	-0.124	-1.32	0.2167	0.289677	1.75	0.2167	0
3.58	-0.903	-7.43	3e-05	0.000174	55.25	3e-05	-1
6.58	-0.006	-0.07	0.94812	0.960441	0	0.94812	0
6.49	0.496	2.62	0.02634	0.048697	6.85	0.02634	1
3.91	-0.422	-0.58	0.5768	0.650252	0.33	0.5768	0
6.09	-0.168	-2.17	0.05583	0.09201	4.72	0.05583	0
5.74	-0.008	-0.09	0.93245	0.94754	0.01	0.93245	0
5.81	0.487	5.74	0.00021	0.000897	32.91	0.00021	1
8.04	-0.253	-3.95	0.00289	0.007596	15.64	0.00289	-1
6.9	-0.427	-6.09	0.00013	0.000621	37.12	0.00013	-1
3.51	1.686	12.02	0	8e-06	144.39	0	1
5.1	1.027	12.76	0	6e-06	162.76	0	1
1.09	-1.246	-5.86	0.00018	0.000786	34.34	0.00018	-1
1.1	1.878	5.92	0.00017	0.000743	35.01	0.00017	1
2.08	2.868	11.99	0	8e-06	143.72	0	1
3.1	-1.129	-6.89	5e-05	0.000284	47.51	5e-05	-1
2.73	-0.297	-1.96	0.079	0.123524	3.85	0.079	0
4.45	0.655	4.38	0.00148	0.00433	19.21	0.00148	1
4.5	0.575	5.81	0.00019	0.000833	33.7	0.00019	1
8	1.286	14.01	0	3e-06	196.32	0	1
-0.12	-0.425	-1.36	0.2043	0.275768	1.85	0.2043	0
0.76	0.844	3.38	0.00737	0.016581	11.4	0.00737	1
4.03	-0.26	-2.12	0.06066	0.098935	4.51	0.06066	0
7.31	0.149	2.1	0.06311	0.102299	4.4	0.06311	0
1.11	1.752	8.29	1e-05	8.7e-05	68.73	1e-05	1
1.13	-0.289	-1.14	0.28252	0.362951	1.29	0.28252	0
2.54	0.335	1.61	0.13918	0.200376	2.6	0.13918	0
7.56	-0.825	-10.92	0	1.5e-05	119.18	0	-1
4.77	0.822	5.87	0.00018	0.000782	34.42	0.00018	1
9.01	0.054	0.65	0.5283	0.607243	0.43	0.5283	0
1.75	-0.414	-2.21	0.05241	0.087031	4.88	0.05241	0
5.39	-0.16	-1.69	0.12233	0.179318	2.87	0.12233	0
2.28	-0.734	-3.93	0.00299	0.007803	15.47	0.00299	-1
7.62	0.156	2.13	0.05987	0.097779	4.54	0.05987	0
5.52	0.168	1.75	0.11183	0.166044	3.06	0.11183	0
2.22	0.034	0.15	0.88002	0.907409	0.02	0.88002	0
6.81	0.189	2.08	0.06555	0.105519	4.31	0.06555	0
7.43	0.053	0.71	0.49627	0.577259	0.5	0.49627	0
5.29	0.4	4.13	0.00221	0.00604	17.02	0.00221	1
6.95	0.131	2	0.07381	0.116608	4.02	0.07381	0
6.18	-0.665	-8.98	1e-05	5.2e-05	80.65	1e-05	-1
6.54	-0.384	-5.51	0.00029	0.00114	30.37	0.00029	-1
4.61	-0.636	-4.64	0.00101	0.003134	21.52	0.00101	-1
1.34	0.154	0.75	0.4738	0.556303	0.56	0.4738	0
2.7	1.164	5.98	0.00015	0.000695	35.78	0.00015	1
6.42	0.384	4.73	0.00088	0.0028	22.38	0.00088	1
7.43	0.882	7.23	3e-05	0.000207	52.32	3e-05	1
7.97	-0.098	-0.66	0.52685	0.605967	0.43	0.52685	0
2.65	0.437	2.19	0.05391	0.089331	4.81	0.05391	0
-0.31	-0.58	-1.53	0.15849	0.222838	2.33	0.15849	0
3.88	-0.915	-6.43	9e-05	0.000439	41.4	9e-05	-1
2.38	-0.051	-0.3	0.77137	0.818763	0.09	0.77137	0
5.7	-0.516	-3.07	0.01236	0.025593	9.4	0.01236	-1
3.87	-0.782	-6.17	0.00012	0.000574	38.04	0.00012	-1
4.54	-0.06	-0.54	0.60311	0.673154	0.29	0.60311	0
3.37	0.032	0.26	0.79925	0.841909	0.07	0.79925	0
1.3	0.215	0.9	0.39143	0.475626	0.8	0.39143	0
4.4	-0.136	-0.96	0.362	0.445879	0.92	0.362	0
5.34	-0.75	-8.67	1e-05	6.6e-05	75.2	1e-05	-1
7.87	-0.515	-6.83	5e-05	3e-04	46.65	5e-05	-1
1.71	-1.289	-5.63	0.00025	0.001003	31.73	0.00025	-1
7.04	-0.279	-3.6	0.0051	0.012149	12.96	0.0051	-1
7.29	-0.49	-6.57	7e-05	0.000384	43.17	7e-05	-1
3.65	-1.538	-6.34	1e-04	0.000483	40.22	1e-04	-1
2.22	-1.458	-6.95	5e-05	0.000271	48.25	5e-05	-1
3.17	0.436	2.89	0.01654	0.032702	8.37	0.01654	1
1.78	-0.308	-1.65	0.13112	0.190361	2.72	0.13112	0
5.81	-0.395	-4.64	0.00101	0.003139	21.5	0.00101	-1
6.09	-0.753	-9.34	0	4.1e-05	87.3	0	-1
3.31	-0.782	-6.25	0.00011	0.000525	39.1	0.00011	-1
1.48	-0.049	-0.23	0.82143	0.86043	0.05	0.82143	0
1.72	0.517	2.62	0.02621	0.048491	6.87	0.02621	1
5.59	-1.072	-5.59	0.00026	0.001044	31.3	0.00026	-1
1.06	0.976	4.3	0.00169	0.004835	18.46	0.00169	1
5.3	-0.697	-7.7	2e-05	0.000139	59.32	2e-05	-1
0.57	-0.597	-2.44	0.03531	0.062288	5.98	0.03531	0
1.15	0.495	2.02	0.07148	0.113607	4.1	0.07148	0
4.03	-1.218	-10.63	0	1.8e-05	112.97	0	-1
5.78	0.465	5.62	0.00025	0.001018	31.56	0.00025	1
4.19	1.249	7.49	2e-05	0.000166	56.11	2e-05	1
3.03	-0.168	-0.68	0.51484	0.594455	0.46	0.51484	0
5.77	-0.237	-2.98	0.01437	0.029034	8.86	0.01437	-1
4.12	4.3	14.81	0	2e-06	219.27	0	1
2.06	-0.828	-4.96	0.00063	0.002125	24.63	0.00063	-1
4.36	0.377	3.48	0.00625	0.014414	12.09	0.00625	1
2.66	-1.777	-9.08	0	4.8e-05	82.46	0	-1
4.94	-0.048	-0.46	0.65561	0.720152	0.21	0.65561	0
1.58	0.311	0.72	0.48745	0.568485	0.52	0.48745	0
6.38	0.325	4.2	0.00195	0.005456	17.67	0.00195	1
0.92	-0.079	-0.14	0.89208	0.916369	0.02	0.89208	0
2.81	3.084	8.57	1e-05	7.1e-05	73.42	1e-05	1
1.48	-0.014	-0.06	0.95035	0.962342	0	0.95035	0
1.1	-0.134	-0.58	0.57713	0.650408	0.33	0.57713	0
1.63	-0.836	-2.84	0.01816	0.035463	8.05	0.01816	-1
6.62	-0.026	-0.27	0.7894	0.833184	0.08	0.7894	0
-0.1	0.258	0.8	0.44199	0.526691	0.64	0.44199	0
1.51	-0.063	-0.21	0.84107	0.876962	0.04	0.84107	0
2.2	0.334	1.33	0.21529	0.288108	1.76	0.21529	0
6.7	0.083	0.72	0.48596	0.567178	0.52	0.48596	0
1.68	-0.442	-2.54	0.03015	0.054518	6.44	0.03015	0
2.81	-0.213	-1.45	0.17761	0.245514	2.11	0.17761	0
3.74	0.636	3.63	0.00488	0.011702	13.16	0.00488	1
1.69	-0.2	-1.08	0.30468	0.386791	1.17	0.30468	0
5.87	0.571	7.35	3e-05	0.000188	53.96	3e-05	1
4.03	-1.043	-5.62	0.00025	0.001018	31.56	0.00025	-1
5.22	-0.87	-6.55	8e-05	0.00039	42.93	8e-05	-1
6.31	-1.002	-6.95	5e-05	0.000269	48.35	5e-05	-1
4.97	-0.249	-2.41	0.03767	0.065639	5.79	0.03767	0
5.27	-0.143	-1.55	0.15298	0.216429	2.41	0.15298	0
4.83	0.177	1.41	0.1912	0.260855	1.97	0.1912	0
3.6	0.347	2.03	0.07087	0.112753	4.12	0.07087	0
6.81	0.168	1.92	0.08416	0.130137	3.7	0.08416	0
3.69	1.152	7.03	4e-05	0.000251	49.36	4e-05	1
4.88	-0.222	-1.92	0.08415	0.130137	3.7	0.08415	0
2.88	0.162	0.87	0.40326	0.487448	0.76	0.40326	0
3	0.586	2.32	0.04369	0.074498	5.38	0.04369	0
5.7	-0.255	-2.39	0.03854	0.067021	5.73	0.03854	0
-0.53	-0.263	-0.8	0.44127	0.526122	0.64	0.44127	0
1.5	-1.12	-5.62	0.00025	0.001014	31.59	0.00025	-1
4.57	-0.213	-1.94	0.0823	0.127813	3.76	0.0823	0
4.75	-0.193	-2	0.07459	0.117587	3.99	0.07459	0
4.82	-0.311	-3.4	0.00705	0.015961	11.58	0.00705	-1
1.32	2.511	7.87	2e-05	0.000121	61.89	2e-05	1
5.29	-1.221	-9.43	0	3.9e-05	88.87	0	-1
0.78	2.448	7.91	2e-05	0.000117	62.61	2e-05	1
3.04	-0.437	-2.28	0.04628	0.078292	5.22	0.04628	0
2.78	-0.186	-1.05	0.31753	0.400405	1.11	0.31753	0
1.13	0.267	1.17	0.27005	0.348948	1.37	0.27005	0
8.67	0.012	0.15	0.8829	0.909567	0.02	0.8829	0
4.92	0.295	3.14	0.01085	0.022959	9.88	0.01085	1
6.04	-0.368	-3.82	0.00358	0.009035	14.59	0.00358	-1
4.46	0.256	2.44	0.03557	0.062645	5.95	0.03557	0
5.44	0.074	0.78	0.45187	0.536191	0.61	0.45187	0
5.98	0.439	6.03	0.00014	0.000661	36.37	0.00014	1
4.5	0	0	0.99749	0.998055	0	0.99749	0
10.82	-0.384	-3.38	0.00736	0.016576	11.4	0.00736	-1
3.07	0.402	1.72	0.11729	0.172901	2.96	0.11729	0
5.21	-0.15	-1.07	0.31246	0.395322	1.14	0.31246	0
3.1	-0.188	-1.24	0.24324	0.319758	1.54	0.24324	0
1.55	2.907	12.47	0	7e-06	155.5	0	1
5.7	6.157	25.11	0	0	630.76	0	1
4.92	-0.413	-3.83	0.0035	0.00887	14.7	0.0035	-1
7.16	0.05	0.74	0.47857	0.560568	0.54	0.47857	0
3.14	-0.253	-1.85	0.09524	0.14457	3.42	0.09524	0
0.89	-0.531	-2.18	0.05482	0.090571	4.77	0.05482	0
4.49	-0.277	-2.8	0.01943	0.037574	7.83	0.01943	-1
0.45	-0.816	-2.65	0.02479	0.046248	7.04	0.02479	-1
4.08	0.425	3.32	0.00813	0.01799	11	0.00813	1
0.36	0.407	1.26	0.23838	0.314457	1.58	0.23838	0
2.66	0.132	0.89	0.3956	0.479868	0.79	0.3956	0
5.13	0.106	1.19	0.26165	0.339529	1.42	0.26165	0
8.14	-0.489	-5.96	0.00016	0.000714	35.49	0.00016	-1
8.29	0.142	2.26	0.0481	0.080857	5.11	0.0481	0
2.24	3.566	15.63	0	2e-06	244.36	0	1
5.36	-0.755	-8.85	1e-05	5.7e-05	78.36	1e-05	-1
1.41	-1.059	-4.81	0.00078	0.002538	23.13	0.00078	-1
3.68	-0.33	-2.48	0.03338	0.059406	6.14	0.03338	0
5.29	0.215	1.86	0.09393	0.142881	3.45	0.09393	0
10.06	-0.561	-7.71	2e-05	0.000138	59.44	2e-05	-1
2.46	0.067	0.35	0.73334	0.786245	0.12	0.73334	0
0.53	-0.065	-0.26	0.79769	0.840842	0.07	0.79769	0
6.18	-0.091	-1.2	0.26003	0.337757	1.43	0.26003	0
7.22	0.816	2.11	0.06186	0.100607	4.46	0.06186	0
3.95	-1.097	-9.48	0	3.7e-05	89.84	0	-1
5.9	-0.81	-8.04	1e-05	0.000106	64.59	1e-05	-1
4.69	-0.096	-0.96	0.36245	0.446194	0.91	0.36245	0
7.21	-0.362	-4.49	0.00126	0.003783	20.14	0.00126	-1
6.64	0.514	7.19	3e-05	0.000215	51.77	3e-05	1
2.43	0.469	2.83	0.01843	0.035896	8	0.01843	1
4.11	1.934	12.65	0	6e-06	160.12	0	1
0.66	-0.404	-1.51	0.1631	0.228588	2.28	0.1631	0
1.99	-0.016	-0.09	0.92856	0.944034	0.01	0.92856	0
5.42	3.022	23.9	0	0	571.34	0	1
6.6	-0.81	-10.49	0	2e-05	110	0	-1
4.17	-0.503	-4.31	0.00164	0.004721	18.62	0.00164	-1
3.28	2.649	17.96	0	1e-06	322.56	0	1
7.05	-0.077	-1.2	0.25726	0.33461	1.45	0.25726	0
3.14	-2.684	-18.33	0	1e-06	335.82	0	-1
1.53	0.407	2.26	0.0486	0.08162	5.09	0.0486	0
0.7	0.274	1.02	0.33345	0.417278	1.04	0.33345	0
5.21	0.066	0.81	0.43903	0.524034	0.65	0.43903	0
3.35	2.138	8.74	1e-05	6.3e-05	76.33	1e-05	1
1.8	-0.208	-0.9	0.39018	0.474262	0.81	0.39018	0
4.83	-0.477	-4.32	0.00162	0.004662	18.7	0.00162	-1
2.21	0.214	1.27	0.23384	0.30926	1.61	0.23384	0
0.8	-1.547	-4.96	0.00062	0.00212	24.64	0.00062	-1
5.07	-0.102	-0.98	0.35222	0.435619	0.96	0.35222	0
2.2	0.313	2	0.07421	0.117082	4	0.07421	0
9.17	0.295	2.94	0.01518	0.030395	8.67	0.01518	1
4.52	-0.201	-1.86	0.0937	0.142612	3.45	0.0937	0
3.41	-0.771	-4.49	0.00126	0.003775	20.17	0.00126	-1
6.65	0.3	3.79	0.00378	0.009434	14.34	0.00378	1
7.86	-0.532	-8.48	1e-05	7.6e-05	71.91	1e-05	-1
8	0.277	3.93	0.00301	0.007852	15.43	0.00301	1
7.53	-0.081	-0.98	0.35274	0.43621	0.95	0.35274	0
5.89	0.037	0.44	0.67037	0.733127	0.19	0.67037	0
2.76	-0.39	-2.32	0.04377	0.074599	5.37	0.04377	0
-0.1	-0.053	-0.17	0.86681	0.89714	0.03	0.86681	0
2.93	0.657	2.7	0.02301	0.043384	7.28	0.02301	1
1.95	-0.138	-0.73	0.48073	0.562252	0.54	0.48073	0
2.03	0.041	0.23	0.82475	0.863234	0.05	0.82475	0
4.58	-0.453	-3.75	0.00401	0.009927	14.05	0.00401	-1
7.07	0.064	0.95	0.36687	0.450702	0.9	0.36687	0
3.42	-0.216	-1.68	0.12514	0.183029	2.82	0.12514	0
5.79	0.45	4.09	0.00231	0.006287	16.77	0.00231	1
4.29	0.629	2.99	0.01415	0.028651	8.92	0.01415	1
5.19	0.369	3.04	0.01284	0.0264	9.26	0.01284	1
2.05	-0.504	-2.42	0.03712	0.064863	5.83	0.03712	0
6.07	-0.989	-11.78	0	9e-06	138.77	0	-1
4.68	1.056	9.32	0	4.2e-05	86.81	0	1
4.84	0.044	0.39	0.70519	0.762737	0.15	0.70519	0
3.41	-0.24	-1.78	0.10723	0.159993	3.15	0.10723	0
6.12	-0.174	-1.54	0.15447	0.217877	2.39	0.15447	0
2.5	0.08	0.5	0.62514	0.69254	0.25	0.62514	0
5.46	0.24	2.43	0.03633	0.063699	5.89	0.03633	0
4.57	0.055	0.41	0.69339	0.752448	0.17	0.69339	0
7.28	-0.613	-9.49	0	3.7e-05	90.03	0	-1
0.41	0.682	2.55	0.02932	0.053286	6.53	0.02932	0
7.94	0.284	3.44	0.00665	0.015176	11.82	0.00665	1
1.43	0.879	4.29	0.00172	0.004907	18.36	0.00172	1
6.93	-0.206	-2.93	0.01551	0.030946	8.59	0.01551	-1
2.13	2.064	12.24	0	7e-06	149.73	0	1
7.27	0.622	7.16	4e-05	0.000221	51.27	4e-05	1
7.09	-0.138	-1.69	0.12303	0.180213	2.85	0.12303	0
2.74	0.354	1.7	0.12059	0.177121	2.9	0.12059	0
