Tdu1	Tdu2	Tdu3	Tpo1	Tpo2	Tpo3	Tm1	Tm2	Tm3
TDU_consensed_contig_48752|TPO_consensed_contig_106427	0.934886582901468	0.443905750940561	0.500945282219786	2.81297070284171	2.91128834842751	2.57380274349977	4.41839271350489	4.06910573949501	2.45514389789344
TDU_consensed_contig_3076|TPO_consensed_contig_4409	6.46335246197842	6.11284526810322	6.44057993469772	6.65571529140006	6.63355743138702	6.57271596752304	6.65279765254332	6.50206514677112	6.38614497422935
TDU_consensed_contig_12660|TPO_consensed_contig_35704	5.34529961971309	4.36551785225585	5.67162621506052	5.30631685630672	5.50417183008954	5.04738625258219	4.33223606975518	3.82542195582861	6.47081283687735
TDU_consensed_contig_36157|TPO_consensed_contig_32174	4.13159979505809	4.23692123372564	4.34098090307205	4.74005833192729	4.56395570828706	4.7078784971036	4.76298057029374	4.6111665839305	4.75980692461299
TDU_consensed_contig_35369|TPO_consensed_contig_85862	4.38798363574865	4.23050211283137	4.28675242360903	4.49136575613375	4.20610224950193	4.49491477210679	4.28714818022664	4.381815304353	3.96676430283975
TDU_consensed_contig_33692|TPO_consensed_contig_46821	4.14292991905748	4.34783393269322	4.09720537427533	5.0649747802887	4.92100350326072	4.75463058220469	4.97684328983246	5.17451050851741	4.13355096273366
TDU_consensed_contig_69335|TPO_consensed_contig_9777	4.8510178508764	3.89117975515162	4.7315775430876	4.01752431834047	4.09224281556869	3.88292749058111	5.54090477247242	5.85929337840775	5.88899689147306
TDU_consensed_contig_27762|TPO_consensed_contig_116132	6.20505523432923	6.12760220524708	6.02746297592384	6.35817739540843	6.54418532621237	6.61415298891199	6.02780825795059	6.06219737015283	5.81256508734701
TDU_consensed_contig_56821|TPO_consensed_contig_19898	1.27409266922067	1.85616616554883	1.61851487860096	0.917668081508405	0.871759984240875	1.27201229418349	1.29592906576885	1.52937249276685	0.891476175535515
TDU_consensed_contig_59592|TPO_consensed_contig_32672	5.02643348927379	4.85303554217016	4.56906443648636	4.17467869971443	4.22016029048943	4.05881565730012	5.16880562911231	5.28465574175516	4.83592277576764
TDU_consensed_contig_80707|TPO_consensed_contig_12642	8.29698884520719	8.43494785440842	8.39267167764485	7.97092425959661	7.76956810003594	8.10427567625703	7.56089540051842	7.69230457927294	7.72172146844469
TDU_consensed_contig_68449|TPO_consensed_contig_91407	4.26547953891596	4.45633690048937	4.7228515384157	4.867514242019	5.07203801993835	4.73921428191501	4.51481554360376	4.83085175162791	4.21498877913887
TDU_consensed_contig_68151|TPO_consensed_contig_33765	7.81147749296606	7.18868785019696	7.56642492614041	6.77664369580043	7.14131960611805	6.87089395592275	7.97342636094399	7.4087515248068	7.16729370059286
TDU_consensed_contig_56748|TPO_consensed_contig_9392	3.97135813956661	3.79440299802469	4.06073720720604	3.02423974570645	3.70433749000173	2.8945715815623	3.60095038466132	3.56369256595073	3.45245981332223
TDU_consensed_contig_11053|TPO_consensed_contig_39553	9.29535028978118	9.20182137664454	9.00851555886485	9.32768122249195	9.19363241852363	9.25602177185132	9.1552979930725	9.36371478242783	8.86264070460254
TDU_consensed_contig_4745|TPO_consensed_contig_27969	3.03152236594659	2.57635604696421	2.76737826451544	3.03314529892834	2.90259738816347	2.94919116612562	2.60378197544449	3.09280183193837	3.11500056636188
TDU_consensed_contig_37494|TPO_consensed_contig_37012	8.59352824576823	8.55524208812613	8.36466404368673	7.74226623577002	7.5422632469055	7.73872985803417	8.08604818477767	8.18843019303152	7.82597712393934
TDU_consensed_contig_39883|TPO_consensed_contig_26319	2.56547170074842	2.67420337036235	2.70966276665916	1.82840074341132	2.03175586843945	1.57958509609378	2.28890863809108	2.05988720946563	1.88352742242002
TDU_consensed_contig_8405|TPO_consensed_contig_33570	8.42799449050561	8.33433373538359	8.24203062009151	8.15836402572091	8.20179156967395	8.15235352454279	8.40577239578197	8.48365498307914	8.00195231491707
TDU_consensed_contig_46251|TPO_consensed_contig_32522	3.69170411216334	3.73215071957163	3.8525096114834	3.75762766899794	3.43579182709243	3.75590786873424	3.55487237496354	3.42122368891123	3.37520338141251
TDU_consensed_contig_34448|TPO_consensed_contig_43120	1.21805863430634	0.830928874049808	0.881549284434756	2.14006050284485	1.75107850181841	2.16069527131933	2.39733109797706	2.30430593713208	1.46049713238765
TDU_consensed_contig_57333|TPO_consensed_contig_17762	5.34693347610616	5.27718510393937	5.93855996903451	6.41123002617633	6.62367591987305	6.39064504383386	6.77087538610364	6.86750633719029	5.93683081093537
TDU_consensed_contig_16521|TPO_consensed_contig_16031	-0.395758729087003	-1.05490010603088	0.387734671771795	1.28876223319965	1.30009430613318	1.50861857473964	1.45491858953	0.991715706824054	0.0561068773083144
TDU_consensed_contig_8604|TPO_consensed_contig_16601	4.75337251205576	4.74008074761483	4.7545921095596	4.27943644092756	4.35368396332682	4.34342155498473	4.83222344145374	4.77335744459766	4.56483379220239
TDU_consensed_contig_56911|TPO_consensed_contig_37656	6.93570112797301	6.81466021150164	6.90327361170728	5.96671793718937	5.91831140499703	6.08496794515608	6.69191026644873	6.54498371149628	6.70645471179138
TDU_consensed_contig_35746|TPO_consensed_contig_13623	4.08144759127827	3.46866185002613	4.23450427494274	1.34706087376432	1.75107850181841	2.03165332631759	3.08110375297767	1.96825673400006	2.94973557350791
TDU_consensed_contig_16676|TPO_consensed_contig_13149	3.71213199386113	3.1730819970012	4.14153128916428	3.24727010428119	3.64304565159096	3.50558451465	3.2640645671136	3.16336332941537	4.68632045912437
