logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_48752|TPO_consensed_contig_106427	2.14051770852807	2.34671575130268	3.63476804808824	0.00414427206958666	0.0129849740672116	-2.36408659201811
TDU_consensed_contig_3076|TPO_consensed_contig_4409	0.284503901202834	6.49108601429259	2.47547619259961	0.0315024204785229	0.0658455419817544	-5.11810540564817
TDU_consensed_contig_12660|TPO_consensed_contig_35704	0.180890841287691	5.09653216538545	0.325512298545463	0.751109952155244	0.813315597142143	-7.56296034305497
TDU_consensed_contig_36157|TPO_consensed_contig_32174	0.434972827889205	4.53948317200122	3.77280719429573	0.00327370888290714	0.0107507740634551	-2.58783219906506
TDU_consensed_contig_35369|TPO_consensed_contig_85862	0.0940340815816896	4.30370541526121	0.657889434327317	0.5245987944094	0.62360992048305	-7.25947946393729
TDU_consensed_contig_33692|TPO_consensed_contig_46821	0.712008371139632	4.62372031698485	2.94719519979256	0.0137313246979781	0.0336074731364594	-4.06024822453335
TDU_consensed_contig_69335|TPO_consensed_contig_9777	-0.478746905199254	4.75062942399546	-1.99452221168178	0.0723695874499816	0.128093804221958	-5.63068648023761
TDU_consensed_contig_27762|TPO_consensed_contig_116132	0.384809380083195	6.19768964905371	3.59063676194021	0.00447059463517094	0.0138110806611368	-3.13936710353738
TDU_consensed_contig_56821|TPO_consensed_contig_19898	-0.566835349043222	1.28077686748605	-2.29824268224512	0.0429317661866055	0.0845075740064637	-4.63892826087031
TDU_consensed_contig_59592|TPO_consensed_contig_32672	-0.670319917900325	4.68795247356326	-4.11825585458431	0.00183161233516243	0.00685680515214651	-1.98938032354073
TDU_consensed_contig_80707|TPO_consensed_contig_12642	-0.426454056715616	7.99381087348734	-4.14413094566052	0.00175466976991319	0.00664209168935089	-2.22118426622048
TDU_consensed_contig_68449|TPO_consensed_contig_91407	0.418729506176478	4.63156562178488	2.38134668128931	0.037143436960807	0.0752025826910638	-5.06517993956715
TDU_consensed_contig_68151|TPO_consensed_contig_33765	-0.591635670295089	7.32276879038759	-2.81147684565682	0.0174406533762135	0.0409415248527818	-4.56734600208509
TDU_consensed_contig_56748|TPO_consensed_contig_9392	-0.723320907336799	3.56297221400023	-3.71531964465485	0.00361063774064774	0.0116426453772052	-2.55188877106477
TDU_consensed_contig_11053|TPO_consensed_contig_39553	0.0916825920284943	9.18496401314004	0.704924082100977	0.496011431432951	0.59753290937694	-7.5057620867777
TDU_consensed_contig_4745|TPO_consensed_contig_27969	0.171760722270172	2.89686387826538	0.924796657176955	0.375586744232731	0.481249129129019	-6.79949818450796
TDU_consensed_contig_37494|TPO_consensed_contig_37012	-0.829536807895298	8.07079435778215	-7.16853245048015	2.19279690526177e-05	0.000254282512193575	2.41412095320329
TDU_consensed_contig_39883|TPO_consensed_contig_26319	-0.833330569196761	2.18015586841014	-4.60726565833811	0.000826148237317006	0.00366897772314168	-0.813500250308621
TDU_consensed_contig_8405|TPO_consensed_contig_33570	-0.163773771619359	8.26758307329962	-1.338677133918	0.208598934921788	0.302579274720275	-6.89183305437785
TDU_consensed_contig_46251|TPO_consensed_contig_32522	-0.109298141169726	3.61966569481447	-0.802389341764711	0.439896687279119	0.544920336634232	-7.04751946854137
TDU_consensed_contig_34448|TPO_consensed_contig_43120	1.03668241153564	1.68272280403003	3.56565702560088	0.00466695389457795	0.0142632826896836	-2.47261660891001
TDU_consensed_contig_57333|TPO_consensed_contig_17762	0.965501911946574	6.17371578591029	3.90725800195764	0.00260709118605702	0.00904181542323702	-2.5475249495585
TDU_consensed_contig_16521|TPO_consensed_contig_16031	1.7457451210434	0.615254680487639	4.24427380955848	0.00148734372259488	0.00582090737599307	-1.16576391239951
TDU_consensed_contig_8604|TPO_consensed_contig_16601	-0.42297686146443	4.59944466741368	-3.78674839870554	0.00319702549236822	0.0105599532911002	-2.57557542881755
TDU_consensed_contig_56911|TPO_consensed_contig_37656	-0.894443551674297	6.50744232536231	-9.71306019760764	1.29276507130719e-06	3.47172220516483e-05	5.47518359157502
TDU_consensed_contig_35746|TPO_consensed_contig_13623	-2.20095566247999	2.76816694207035	-6.54601026785576	4.88512394321608e-05	0.00045045984992182	2.07637913926873
TDU_consensed_contig_16676|TPO_consensed_contig_13149	-0.188696962954057	3.6151548784669	-0.489021822732792	0.634758432855799	0.718616596433326	-7.23723152144377
