logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_33037|TPR_consensed_contig_81949	1.69747643655882	1.27824655909632	10.0066726907275	3.99901780168301e-07	4.89278109260357e-07	6.55801779062789
TDU_consensed_contig_56983|TPR_consensed_contig_60177	0.599525398554921	0.895302548693713	3.09182405213097	0.00947011605358186	0.0101697316689832	-3.78543767063138
TDU_consensed_contig_9144|TPR_consensed_contig_102246	4.44499255302095	4.4399019631981	49.0515969631318	4.86073097534641e-15	1.11139605165886e-14	25.0942233763187
TDU_consensed_contig_46040|TPR_consensed_contig_110150	4.08850328144228	4.22618412534078	37.6233732351277	1.10106615595794e-13	2.11187085275257e-13	22.0112288428216
TDU_consensed_contig_59264|TPR_consensed_contig_54179	2.18111680169553	2.6115017834915	12.7559247627649	2.84033483032159e-08	3.65445716775087e-08	9.27701202437584
TDU_consensed_contig_39174|TPR_consensed_contig_10735	5.38640195736043	5.21785718210496	61.9099946618924	3.12252361817846e-16	9.07533239906206e-16	27.7965743750888
TDU_consensed_contig_12631|TPR_consensed_contig_74997	6.4298816022259	6.39016635810135	102.467291597803	8.11937520774105e-19	8.20585376024954e-18	33.2333209643517
TDU_consensed_contig_39700|TPR_consensed_contig_81005	4.59386634565492	4.36712504144445	43.645173597531	1.92236452169181e-14	4.03531167929079e-14	23.753377062445
TDU_consensed_contig_16718|TPR_consensed_contig_75075	6.30374401175189	6.52417492388023	82.5742909041677	1.04095380703041e-17	5.08954895727463e-17	31.021662473375
TDU_consensed_contig_77592|TPR_consensed_contig_54144	3.2270676539225	2.94656229059414	30.3970995733785	1.34117243454081e-12	2.30316370311697e-12	19.5119832808066
TDU_consensed_contig_10134|TPR_consensed_contig_101033	6.74692827255153	6.50897951523156	93.481744893461	2.402597296319e-18	1.68296767550766e-17	32.3600041826661
TDU_consensed_contig_38575|TPR_consensed_contig_100441	3.39466439283227	3.52538434093423	28.4941310207902	2.85493606520213e-12	4.76194414000512e-12	18.7405281680044
TDU_consensed_contig_80414|TPR_consensed_contig_115537	-0.374682273244751	-0.0609229795824795	-1.40666493654564	0.185240638003367	0.191732760151349	-6.41991919089489
TDU_consensed_contig_59336|TPR_consensed_contig_53892	4.89076116530028	4.47421261688611	56.3490820626799	9.47769868056577e-16	2.46203944432036e-15	26.698843433056
TDU_consensed_contig_11937|TPR_consensed_contig_108118	2.40221773833462	2.4835601903195	19.7708926195852	1.98352550947701e-10	2.88206003418693e-10	14.4511817100293
TDU_consensed_contig_36480|TPR_consensed_contig_65471	2.06735594813854	2.11773120553511	12.7048211811854	2.969600416231e-08	3.81837704711861e-08	9.2472454079492
TDU_consensed_contig_83481|TPR_consensed_contig_101707	2.16728554271984	1.94719774342991	15.3583778851116	3.54670713668158e-09	4.76552441808219e-09	11.4696064040963
TDU_consensed_contig_61194|TPR_consensed_contig_49475	5.020674334306	5.05056477237182	57.3211235615083	7.74634441223066e-16	2.0555291956639e-15	26.9025659982679
TDU_consensed_contig_25948|TPR_consensed_contig_49220	3.10776094536957	2.82004812467109	20.9458580720259	1.01948720608376e-10	1.51109414057657e-10	15.0737874419524
TDU_consensed_contig_67502|TPR_consensed_contig_9828	3.51295015192921	3.64242451163798	30.4216553043078	1.32856566633698e-12	2.2832703251084e-12	19.5125763294284
TDU_consensed_contig_17573|TPR_consensed_contig_98911	12.9057777720094	13.0741738995454	193.972156120976	4.28072522337753e-22	1.34039564228517e-18	38.3846312829818
TDU_consensed_contig_19476|TPR_consensed_contig_76021	5.10378365515125	5.13546005544339	61.5439997388614	3.34882336661347e-16	9.65908861836612e-16	27.7041484135239
TDU_consensed_contig_12596|TPR_consensed_contig_99783	3.38647012730062	3.774143532039	32.5335273499681	6.05641937183485e-13	1.07660339501411e-12	20.3085205560064
TDU_consensed_contig_23505|TPR_consensed_contig_77150	9.25833504938094	9.36648643957671	103.714882317047	7.03699957495213e-19	7.58275122190537e-18	33.5230134469674
TDU_consensed_contig_33980|TPR_consensed_contig_92772	4.23846904188033	4.29979194147942	37.9920236962572	9.81929483165072e-14	1.89317075130267e-13	22.1248778599238
TDU_consensed_contig_16120|TPR_consensed_contig_98525	4.47757951870403	4.55267179352542	54.3031435243578	1.46590325570851e-15	3.66493695157376e-15	26.2425435591754
TDU_consensed_contig_75078|TPR_consensed_contig_99332	7.09796557362628	6.9318682191523	105.424507705827	5.80018604007193e-19	6.65624933243641e-18	33.6041701139798
TDU_consensed_contig_69777|TPR_consensed_contig_82258	6.49331507724241	6.79344784239494	88.8317351925591	4.39104800244256e-18	2.62081886598901e-17	31.8065600763847
TDU_consensed_contig_74833|TPR_consensed_contig_105358	4.17082568406821	3.94711783691104	38.9497677753308	7.32932448445151e-14	1.42986707246638e-13	22.4179234061259
TDU_consensed_contig_43649|TPR_consensed_contig_60306	4.29358823490336	4.33652567201338	48.4648693265191	5.60099193405677e-15	1.26708532759854e-14	24.9459894996783
TDU_consensed_contig_27976|TPR_consensed_contig_98013	6.76549506267399	6.74063873920489	110.240463711716	3.42041363510828e-19	4.85490289925064e-18	33.989662118017
TDU_consensed_contig_33098|TPR_consensed_contig_59899	8.6511713824927	9.0452412555266	108.083048996592	4.32080493452866e-19	5.64722240051078e-18	33.9391420667623
TDU_consensed_contig_12745|TPR_consensed_contig_77970	3.79472863863141	3.91584107591254	25.8758306371344	8.78463661108715e-12	1.40884125180628e-11	17.5564284025606
TDU_consensed_contig_45825|TPR_consensed_contig_61733	7.64335309074831	7.5206195107583	114.865531175052	2.10394229656132e-19	3.63530654177691e-18	34.489195304209
