logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_33037|TPR_consensed_contig_81949	0.82137501409776	1.55704669540095	3.0735469364868	0.0095491760531398	0.0223622177270274	-3.17220694024788
TDU_consensed_contig_56983|TPR_consensed_contig_60177	-0.57629064067614	0.863269543785117	-2.11744432831785	0.0555583833305153	0.0968174060127463	-4.79967237637518
TDU_consensed_contig_9144|TPR_consensed_contig_102246	0.0134658254914735	4.44814300154882	0.112178210533368	0.912517936886835	0.935851981563646	-7.50897078050739
TDU_consensed_contig_46040|TPR_consensed_contig_110150	-0.263060663591422	4.46821537261472	-1.83170306277479	0.0916628347572707	0.146173626321236	-5.87722136409044
TDU_consensed_contig_59264|TPR_consensed_contig_54179	-0.85470550519669	2.60966706989808	-3.61719313813524	0.0034770094735209	0.00960294369292776	-2.39193977412893
TDU_consensed_contig_39174|TPR_consensed_contig_10735	0.334175878757925	5.18984989397748	2.79647814117823	0.0160119776640357	0.0342337836824632	-4.38909242736547
TDU_consensed_contig_12631|TPR_consensed_contig_74997	0.079253398682539	6.41965253642724	0.793525949052335	0.442724590458916	0.533593825797199	-7.45186258851445
TDU_consensed_contig_39700|TPR_consensed_contig_81005	0.466702424265434	4.64940430482524	2.54489087027062	0.0255342019686759	0.0505650951163456	-4.70214334767404
TDU_consensed_contig_16718|TPR_consensed_contig_75075	-0.441571353737965	6.53773529707659	-3.64801396783979	0.00328502904475321	0.00917006594693559	-2.94426568509389
TDU_consensed_contig_77592|TPR_consensed_contig_54144	0.568778750563952	2.99962883550067	3.18199018233328	0.00779971010317568	0.0188796895078539	-3.26804381946407
TDU_consensed_contig_10134|TPR_consensed_contig_101033	0.475742680802288	6.96147473678985	3.33733296162902	0.00583975589991128	0.0147918130595107	-3.52660203182622
TDU_consensed_contig_38575|TPR_consensed_contig_100441	-0.267962120484348	3.56606612492147	-1.69820917902321	0.114962359896039	0.176772702813321	-5.94470398859302
TDU_consensed_contig_80414|TPR_consensed_contig_115537	-0.620259011020202	0.73398677034584	-1.34678191888752	0.202685644166736	0.28293454826797	-5.77990675594659
TDU_consensed_contig_59336|TPR_consensed_contig_53892	0.829806082766325	4.46319427921852	6.35694474420111	3.45882834925975e-05	0.000232736944694554	2.04397249928813
TDU_consensed_contig_11937|TPR_consensed_contig_108118	-0.166837931139766	2.4706725940769	-1.11190344372714	0.287741309045793	0.376445469686393	-6.50213534978514
TDU_consensed_contig_36480|TPR_consensed_contig_65471	-0.0843271645080357	2.20222654839784	-0.395514788842259	0.699333887341186	0.762943872148265	-6.97981324430659
TDU_consensed_contig_83481|TPR_consensed_contig_101707	0.437422945209348	1.99112995689543	1.95386336033499	0.0741778877808479	0.122846911590054	-5.24846325343518
TDU_consensed_contig_61194|TPR_consensed_contig_49475	-0.0674464346572572	5.09836914514419	-0.520986631249039	0.611759192251293	0.688271485061966	-7.4762692733151
TDU_consensed_contig_25948|TPR_consensed_contig_49220	0.565223782210128	2.80813946641085	2.51461852448956	0.0270002436879781	0.0531055384186691	-4.46336802240805
TDU_consensed_contig_67502|TPR_consensed_contig_9828	-0.243929916876193	3.91610437603618	-1.60715791528326	0.133734043373458	0.200680174225152	-6.09992258729756
TDU_consensed_contig_17573|TPR_consensed_contig_98911	-0.33689147580241	12.9952117942494	-3.78088811025738	0.00257375240593612	0.00743618042797092	-2.73271265707543
TDU_consensed_contig_19476|TPR_consensed_contig_76021	-0.067555076054937	5.13187815744903	-0.581159079207745	0.571778873217673	0.653360385871591	-7.45458521695782
TDU_consensed_contig_12596|TPR_consensed_contig_99783	-0.771887124565561	3.69258096933598	-5.09268335420064	0.000256579845490154	0.00114089206493803	0.0719719568085262
TDU_consensed_contig_23505|TPR_consensed_contig_77150	-0.215735941655666	9.25710102626194	-1.74408230284761	0.106418882407542	0.165745571725147	-6.42269426925091
TDU_consensed_contig_33980|TPR_consensed_contig_92772	-0.13070297872725	4.25837989748903	-0.861088733876779	0.405896281265337	0.496377849985977	-7.10097442590224
TDU_consensed_contig_16120|TPR_consensed_contig_98525	-0.148064450199842	4.5248944487534	-1.36924433539241	0.195752447349507	0.275148924124595	-6.59520785625381
TDU_consensed_contig_75078|TPR_consensed_contig_99332	0.331351052095775	6.87930175682278	3.51541007819338	0.00419634320075951	0.011239756120856	-3.22465575218936
TDU_consensed_contig_69777|TPR_consensed_contig_82258	-0.601164567247602	6.91853695376544	-6.54322535511707	2.62312180920453e-05	0.000185875849607966	2.06451337315799
TDU_consensed_contig_74833|TPR_consensed_contig_105358	0.44074156632744	3.94512542404443	2.98986122014324	0.0111638543444088	0.0253876355967539	-3.81291501210702
TDU_consensed_contig_43649|TPR_consensed_contig_60306	-0.084882022955532	4.35724058475768	-0.665865644046112	0.517965264928712	0.603351342352387	-7.26140465662268
TDU_consensed_contig_27976|TPR_consensed_contig_98013	0.0491634545497144	6.73757292365343	0.57797715133436	0.573857631410267	0.654998131149604	-7.63416714794332
TDU_consensed_contig_33098|TPR_consensed_contig_59899	-0.788191979375448	9.0875934334218	-7.12115830075962	1.14518570936088e-05	9.84659973831468e-05	2.87052269378941
TDU_consensed_contig_12745|TPR_consensed_contig_77970	-0.256282758172356	4.04342147712085	-1.01919910593286	0.328015249111051	0.419137480509991	-6.87748785434515
TDU_consensed_contig_45825|TPR_consensed_contig_61733	0.24516510330936	7.52310632369411	2.77975638723585	0.0165183141827812	0.0350871538649112	-4.63073560212522
