Tdu_1	Tdu_2	Tdu_3	Tpr_1	Tpr_2	Tpr_3
TDU_consensed_contig_33037|TPR_consensed_contig_81949	1.14784405641435	1.01963344956112	0.418334045306615	1.6711582246257	1.96870477461622	1.44380480405389
TDU_consensed_contig_56983|TPR_consensed_contig_60177	1.48553946716003	0.923418134301822	1.13053173432388	0.925341712877228	0.400715352498778	0.506268891000548
TDU_consensed_contig_9144|TPR_consensed_contig_102246	4.39993759943749	4.3181025716245	4.59676051531494	4.33551580023703	4.42736012471669	4.56173516785794
TDU_consensed_contig_46040|TPR_consensed_contig_110150	4.20419890620138	4.20669279778529	4.67912848944252	4.10509772367923	4.09334614742911	4.06864068750713
TDU_consensed_contig_59264|TPR_consensed_contig_54179	2.72219845756952	3.24534622918918	3.13520822153335	2.43435536036509	2.36872523825434	1.7631771940375
TDU_consensed_contig_39174|TPR_consensed_contig_10735	5.00308904647216	5.00892874921788	5.15491589295084	5.16858894633323	5.59227246237468	5.37934799528099
TDU_consensed_contig_12631|TPR_consensed_contig_74997	6.30849124426865	6.3967273372653	6.34504009826007	6.45420150344706	6.42541762403156	6.41112034133547
TDU_consensed_contig_39700|TPR_consensed_contig_81005	4.18114603156517	3.87064359465328	4.36558237853127	4.66286208307061	4.73900213598581	4.38351402486054
TDU_consensed_contig_16718|TPR_consensed_contig_75075	6.81153899328131	6.61842637316845	6.81247743344859	6.13958610006453	6.42386173815319	6.33915890516529
TDU_consensed_contig_77592|TPR_consensed_contig_54144	2.75379158226484	2.55193700100972	2.67752638484601	3.35005712605843	3.1262460516027	3.21981559778312
TDU_consensed_contig_10134|TPR_consensed_contig_101033	6.29065243843096	6.32243203755264	6.1952220154886	6.83703329474957	6.57028877722657	6.83824852794104
TDU_consensed_contig_38575|TPR_consensed_contig_100441	3.68717332832968	3.56528302625745	3.74944156696837	3.12697557404688	3.66848767733923	3.35494487266377
TDU_consensed_contig_80414|TPR_consensed_contig_115537	0.789796535720332	-0.310071995917957	0.290009948331075	-0.573464144094213	-0.677287159502495	0.115478937968381
TDU_consensed_contig_59336|TPR_consensed_contig_53892	4.05579118450574	4.03698069312502	4.09496637434016	4.76870717070053	5.10407255402216	4.78475772462301
TDU_consensed_contig_11937|TPR_consensed_contig_108118	2.51656636278065	2.60459595028228	2.58484438233616	2.32082641473467	2.51619256991871	2.35833546186454
TDU_consensed_contig_36480|TPR_consensed_contig_65471	1.73808149917618	2.22866748804255	2.51479688480791	2.26929611409459	2.01903645016636	1.93650879692306
TDU_consensed_contig_83481|TPR_consensed_contig_101707	1.87845415554073	1.84679685269891	1.43360080195992	2.3376021274855	1.98567785321993	2.20105466967446
TDU_consensed_contig_61194|TPR_consensed_contig_49475	4.99209284201108	5.2295060204933	5.03241731176121	4.91000116674274	5.20172874768256	4.93764254554006
TDU_consensed_contig_25948|TPR_consensed_contig_49220	2.47925320431259	2.48609918764697	2.67752638484601	2.76716004450305	3.58741606669192	2.92283386002599
TDU_consensed_contig_67502|TPR_consensed_contig_9828	3.85679527441096	3.63275948075968	3.79152315571132	3.81286698361882	3.33931480783463	3.42128736749247
TDU_consensed_contig_17573|TPR_consensed_contig_98911	13.3480589141274	13.1830700955637	13.1968437506841	12.9310796091443	12.9582000480043	12.8277909797487
TDU_consensed_contig_19476|TPR_consensed_contig_76021	5.24460264529469	5.11437804780161	5.15721684246711	4.9623183606732	5.28121185327107	5.05303258315269
TDU_consensed_contig_12596|TPR_consensed_contig_99783	4.24922815435763	4.14403274267037	4.07563348817498	3.52868274291324	3.2991443693591	3.34813969475866
TDU_consensed_contig_23505|TPR_consensed_contig_77150	9.5613789983266	9.32473905425376	9.53666770235316	9.06276641590756	9.55513376767358	9.15823269894558
TDU_consensed_contig_33980|TPR_consensed_contig_92772	4.50578268706741	4.22362603256559	4.38926600272405	3.93914751240226	4.49708374697101	4.24384566714619
TDU_consensed_contig_16120|TPR_consensed_contig_98525	4.58402933055939	4.574552324125	4.72947846448074	4.43630363215461	4.51473161279043	4.47693539704238
TDU_consensed_contig_75078|TPR_consensed_contig_99332	6.77415481661746	6.76962899217645	6.75590850349094	7.05430761914043	7.24972256512027	6.98748681836824
TDU_consensed_contig_69777|TPR_consensed_contig_82258	6.99897528537036	7.08479620233037	7.20387346732957	6.35366967142169	6.61119445229173	6.50817797562594
TDU_consensed_contig_74833|TPR_consensed_contig_105358	3.71953420004247	3.67769133156315	3.80332440794367	3.87164069304398	4.18437418211303	4.42614220675993
TDU_consensed_contig_43649|TPR_consensed_contig_60306	4.35257641665547	4.29585793426663	4.50218110761945	4.18606225287278	4.36710695985596	4.31536936080998
TDU_consensed_contig_27976|TPR_consensed_contig_98013	6.69770275617959	6.72275558875554	6.72909183844576	6.71715578403905	6.81426905545132	6.76285741235806
TDU_consensed_contig_33098|TPR_consensed_contig_59899	9.64904695023547	9.25160297632828	9.41743447860678	8.56196633342088	8.58576463982985	8.80563215473834
TDU_consensed_contig_12745|TPR_consensed_contig_77970	3.90917609536507	4.05601388528762	4.20136709562149	3.35005712605843	4.26999802369958	3.70843422944307
TDU_consensed_contig_45825|TPR_consensed_contig_61733	7.52211924722379	7.31395774411268	7.35885070363676	7.57871045521068	7.60313994815843	7.74693896620745
TDU_consensed_contig_40482|TPR_consensed_contig_106942	2.49179845763171	2.2813745383734	2.42598761785005	2.28667819232283	2.46869214631478	2.60661941633302
TDU_consensed_contig_41963|TPR_consensed_contig_109425	2.85436853701642	2.60459595028228	2.9352075561856	3.29099118519391	3.22960343610602	2.78853276831439
