FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_33037|TPR_consensed_contig_81949,38,2,320,0,0,8,359,0,0,6
TDU_consensed_contig_56983|TPR_consensed_contig_60177,31,0,0,2124,0,0,2,127,0,1
TDU_consensed_contig_75722|TPR_consensed_contig_60147,0,0,1,2343,0,5,13,201,0,2
TDU_consensed_contig_73842|TPR_consensed_contig_49538,0,0,101,0,0,0,22,0,0,0
TDU_consensed_contig_9144|TPR_consensed_contig_102246,200,2,54,3,0,126,119,1,4,13
TDU_consensed_contig_46040|TPR_consensed_contig_110150,256,22,76,0,0,15,65,0,0,1
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0,0,0,31,0,0,0,6,0,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0,0,49,29,0,0,22,5,0,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,5,1,24,0,0,4,360,0,0,0
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0,0,0,237,0,0,0,17,0,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,0,0,1387,0,0,0,692,0,0,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,49,0,166,0,0,36,852,0,1,6
TDU_consensed_contig_39174|TPR_consensed_contig_10735,427,17,149,1,2,128,242,0,6,35
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,980,31,222,1,2,412,508,2,3,72
TDU_consensed_contig_39700|TPR_consensed_contig_81005,126,0,1,1,1,284,109,4,3,19
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0,0,0,2,0,0,0,0,0,0
TDU_consensed_contig_16718|TPR_consensed_contig_75075,777,33,167,49,3,342,435,8,5,46
TDU_consensed_contig_77592|TPR_consensed_contig_54144,145,2,13,975,0,19,83,92,1,7
