FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_33037|TPR_consensed_contig_81949,18,2,278,0,16,0,82,0,9,0
TDU_consensed_contig_56983|TPR_consensed_contig_60177,53,0,0,3411,1,0,1,3381,3,0
TDU_consensed_contig_75722|TPR_consensed_contig_60147,0,0,4,3056,1,2,1,1943,1,0
TDU_consensed_contig_73842|TPR_consensed_contig_49538,0,0,84,0,0,0,8,0,0,0
TDU_consensed_contig_9144|TPR_consensed_contig_102246,160,12,2,0,177,1,3,1,80,3
TDU_consensed_contig_46040|TPR_consensed_contig_110150,288,55,2,0,28,0,0,0,7,0
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0,0,0,30,0,0,0,36,0,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0,0,85,18,0,0,13,52,0,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,4,0,444,0,1,0,119,3,1,0
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0,0,0,282,0,0,0,112,0,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,0,1,1468,0,0,1,461,0,0,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,74,0,967,0,50,0,157,0,9,2
TDU_consensed_contig_39174|TPR_consensed_contig_10735,341,29,10,0,206,3,9,0,72,7
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,872,117,14,1,470,4,16,1,155,9
TDU_consensed_contig_39700|TPR_consensed_contig_81005,75,1,5,0,235,3,6,1,54,4
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0,0,0,1,0,0,0,0,0,0
