FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_36823|TPO_consensed_contig_38920,49,6,4,20,47,25,2,18,13,6
TDU_consensed_contig_12946|TPO_consensed_contig_38940,126,11,2,0,93,72,20,1,37,25
TDU_consensed_contig_12496|TPO_consensed_contig_37721,1409,176,3474,0,490,313,1606,14,261,169
TDU_consensed_contig_75477|TPO_consensed_contig_11577,5,0,0,544,4,0,0,359,5,2
TDU_consensed_contig_39516|TPO_consensed_contig_42256,5,1,36,7,2,4,10,11,0,0
TDU_consensed_contig_34338|TPO_consensed_contig_18819,17,6,0,10,8,2,1,5,21,8
TDU_consensed_contig_60709|TPO_consensed_contig_84476,614,105,3,2,88,159,3,3,44,45
TDU_consensed_contig_2774|TPO_consensed_contig_84555,2688,309,29,52,1080,1561,39,81,394,483
TDU_consensed_contig_101853|TPO_consensed_contig_16816,996,171,16,16,398,468,18,34,182,226
TDU_consensed_contig_64901|TPO_consensed_contig_28516,17,3,0,0,0,7,1,0,0,0
TDU_consensed_contig_39518|TPO_consensed_contig_96969,461,35,402,3,195,36,165,1,106,30
TDU_consensed_contig_101581|TPO_consensed_contig_34949,0,0,0,338,0,0,0,368,0,0
TDU_consensed_contig_100763|TPO_consensed_contig_21833,0,0,0,154,0,2,1,78,1,0
TDU_consensed_contig_64381|TPO_consensed_contig_89508,6,0,63,0,1,7,68,0,0,3
TDU_consensed_contig_47301|TPO_consensed_contig_86180,12,3,1,1,0,2,0,1,1,1
TDU_consensed_contig_12648|TPO_consensed_contig_16316,28,0,237,0,18,13,154,0,1,6
TDU_consensed_contig_12371|TPO_consensed_contig_84318,2023,450,3,4,418,165,11,9,222,63
TDU_consensed_contig_39928|TPO_consensed_contig_58582,0,0,296,1,3,0,119,0,0,0
TDU_consensed_contig_18461|TPO_consensed_contig_39694,0,0,0,12,0,0,2,3,0,0
TDU_consensed_contig_33436|TPO_consensed_contig_27538,4740,590,22,7,1033,387,43,22,480,230
TDU_consensed_contig_102177|TPO_consensed_contig_20130,51,0,1,0,17,16,0,0,6,5
TDU_consensed_contig_33688|TPO_consensed_contig_34221,950,112,0,6,134,375,7,7,81,149
TDU_consensed_contig_18692|TPO_consensed_contig_108159,0,0,7,0,0,0,4,0,0,0
TDU_consensed_contig_56846|TPO_consensed_contig_34589,127,13,0,1106,0,4,0,491,0,6
TDU_consensed_contig_13355|TPO_consensed_contig_100955,59,16,1,2,29,28,0,3,11,8
TDU_consensed_contig_86970|TPO_consensed_contig_111565,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_20226|TPO_consensed_contig_42203,479,66,0,203,83,34,2,129,56,30
TDU_consensed_contig_88810|TPO_consensed_contig_116113,0,0,962,0,1,0,294,0,0,0
TDU_consensed_contig_61588|TPO_consensed_contig_105827,57,16,91,0,3,2,28,0,5,3
TDU_consensed_contig_101945|TPO_consensed_contig_68391,0,0,12,0,0,0,15,0,0,0
TDU_consensed_contig_27936|TPO_consensed_contig_35859,657,128,1,0,104,168,4,5,41,47
TDU_consensed_contig_19428|TPO_consensed_contig_40171,196,29,0,1298,11,9,3,610,15,13
TDU_consensed_contig_8472|TPO_consensed_contig_16638,43,3,503,1,7,17,344,0,5,5
TDU_consensed_contig_16874|TPO_consensed_contig_58867,10554,1647,81,11,1372,1233,147,44,718,978
TDU_consensed_contig_45868|TPO_consensed_contig_35616,2563,370,15,9,755,357,30,15,320,184
TDU_consensed_contig_9216|TPO_consensed_contig_47340,2,2,0,55,2,2,0,67,4,1
TDU_consensed_contig_36218|TPO_consensed_contig_95174,1020,131,0,659,116,162,76,354,71,85
TDU_consensed_contig_91839|TPO_consensed_contig_66236,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_34888|TPO_consensed_contig_91844,127,13,1,0,28,4,0,0,13,7
TDU_consensed_contig_57766|TPO_consensed_contig_28199,57,18,1,0,2,12,0,1,1,1
TDU_consensed_contig_37324|TPO_consensed_contig_36079,561,76,7,20,224,177,12,12,94,51
TDU_consensed_contig_82274|TPO_consensed_contig_102463,433,19,2669,0,148,244,2180,3,66,73
TDU_consensed_contig_69610|TPO_consensed_contig_9736,11,0,1,0,19,3,2,0,5,2
