FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_48752|TPO_consensed_contig_106427,252,23,128,0,80,41,45,5,38,14
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0,0,0,117,0,0,0,96,0,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,1119,260,6,2,467,66,22,3,117,81
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,242,31,0,3,25,61,2,2,26,37
TDU_consensed_contig_36157|TPO_consensed_contig_32174,259,17,7,26,84,137,6,16,29,43
TDU_consensed_contig_35369|TPO_consensed_contig_85862,278,38,10,2,28,28,17,34,14,23
TDU_consensed_contig_33692|TPO_consensed_contig_46821,324,33,1,3,70,112,2,105,55,66
TDU_consensed_contig_69335|TPO_consensed_contig_9777,114,45,21,1876,88,52,237,1794,583,94
TDU_consensed_contig_27762|TPO_consensed_contig_116132,694,85,2271,5,171,217,948,5,79,122
TDU_consensed_contig_45813|TPO_consensed_contig_12048,0,0,563,0,1,0,246,0,0,0
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0,0,4,28,0,0,35,22,0,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,3,2,0,62,1,0,0,29,0,0
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0,0,0,13,0,0,0,5,0,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,7,4,0,0,13,16,5,2,5,6
TDU_consensed_contig_59592|TPO_consensed_contig_32672,196,19,7,0,359,67,15,5,92,21
TDU_consensed_contig_80707|TPO_consensed_contig_12642,2110,231,12,10,545,618,22,25,226,230
TDU_consensed_contig_68449|TPO_consensed_contig_91407,254,21,562,11,44,120,446,7,12,28
TDU_consensed_contig_68151|TPO_consensed_contig_33765,3265,404,37,2323,641,443,46,1094,277,241
TDU_consensed_contig_60664|TPO_consensed_contig_28309,9,4,0,1,1,3,0,0,0,0
TDU_consensed_contig_56748|TPO_consensed_contig_9392,75,4,3592,0,76,38,2369,5,28,33
TDU_consensed_contig_11053|TPO_consensed_contig_39553,5146,1008,44,36,1821,2199,69,70,878,907
TDU_consensed_contig_4745|TPO_consensed_contig_27969,61,12,5,29,19,21,2,23,8,6
TDU_consensed_contig_37494|TPO_consensed_contig_37012,2805,724,26,6,1128,333,38,15,543,166
TDU_consensed_contig_39883|TPO_consensed_contig_26319,48,10,1487,0,18,8,534,0,11,7
TDU_consensed_contig_38951|TPO_consensed_contig_88491,0,0,0,139,0,0,0,52,0,0
TDU_consensed_contig_38948|TPO_consensed_contig_17905,0,0,72,21,0,0,38,8,0,0
TDU_consensed_contig_8405|TPO_consensed_contig_33570,2060,275,39,23,1790,1720,59,147,608,660
TDU_consensed_contig_46251|TPO_consensed_contig_32522,100,8,3,1,57,54,0,2,14,13
TDU_consensed_contig_34448|TPO_consensed_contig_43120,35,8,2,6,12,42,1,4,4,9
TDU_consensed_contig_57117|TPO_consensed_contig_85400,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_57333|TPO_consensed_contig_17762,932,135,20,783,329,481,51,782,169,244
TDU_consensed_contig_16521|TPO_consensed_contig_16031,29,3,0,12,2,11,0,7,2,10
TDU_consensed_contig_8604|TPO_consensed_contig_16601,424,97,1,0,13,26,1,0,7,30
TDU_consensed_contig_75042|TPO_consensed_contig_10293,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_56911|TPO_consensed_contig_37656,1138,163,3,690,348,295,12,259,125,99
TDU_consensed_contig_35746|TPO_consensed_contig_13623,66,9,4,0,56,22,3,3,22,2
