FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_48752|TPO_consensed_contig_106427,80,10,43,2,19,14,18,0,5,6
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0,0,0,260,0,0,0,168,0,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,1105,257,1,1,435,65,19,1,120,69
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,1266,206,1,7,168,271,8,12,140,124
TDU_consensed_contig_36157|TPO_consensed_contig_32174,315,33,21,31,90,136,13,17,41,49
TDU_consensed_contig_35369|TPO_consensed_contig_85862,248,54,9,0,31,22,10,44,12,16
TDU_consensed_contig_33692|TPO_consensed_contig_46821,206,33,1,0,60,55,6,50,34,42
TDU_consensed_contig_69335|TPO_consensed_contig_9777,137,69,50,1931,152,68,413,2625,914,113
TDU_consensed_contig_27762|TPO_consensed_contig_116132,756,72,2330,3,162,211,985,4,73,104
TDU_consensed_contig_45813|TPO_consensed_contig_12048,0,0,601,0,0,0,278,0,0,0
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0,0,5,30,0,0,20,19,0,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,4,1,0,49,4,0,0,67,0,0
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0,0,0,7,0,0,0,5,0,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,4,6,0,0,17,8,7,3,2,8
TDU_consensed_contig_59592|TPO_consensed_contig_32672,160,9,6,0,327,95,7,5,78,31
TDU_consensed_contig_80707|TPO_consensed_contig_12642,2823,276,15,9,820,669,17,21,332,257
TDU_consensed_contig_68449|TPO_consensed_contig_91407,235,24,548,9,39,111,535,8,21,25
