FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_40482|TPR_consensed_contig_106942,77,16,431,4,23,23,355,5,2,8
TDU_consensed_contig_41963|TPR_consensed_contig_109425,163,19,0,0,13,11,0,0,9,2
TDU_consensed_contig_19573|TPR_consensed_contig_18202,583,81,1,317,64,130,1,134,49,78
TDU_consensed_contig_33332|TPR_consensed_contig_92493,557,144,6,0,88,1,4,0,83,4
TDU_consensed_contig_41680|TPR_consensed_contig_17074,17,2,295,0,21,21,202,0,7,8
TDU_consensed_contig_12636|TPR_consensed_contig_74015,0,3,2880,0,0,0,1300,0,1,0
TDU_consensed_contig_21950|TPR_consensed_contig_19832,3,0,7,45,5,2,7,47,0,0
TDU_consensed_contig_33741|TPR_consensed_contig_92566,1360,189,4,7,361,488,13,16,142,165
TDU_consensed_contig_61486|TPR_consensed_contig_11851,7,0,0,0,2,0,2,0,0,0
TDU_consensed_contig_38105|TPR_consensed_contig_86114,779,65,20,10,292,309,49,9,191,159
TDU_consensed_contig_20940|TPR_consensed_contig_21265,0,0,170,0,0,9,60,0,1,1
TDU_consensed_contig_69660|TPR_consensed_contig_105344,925,199,2030,2,135,152,784,7,58,50
TDU_consensed_contig_57023|TPR_consensed_contig_36284,0,0,51,0,0,0,38,0,0,0
TDU_consensed_contig_75341|TPR_consensed_contig_55429,0,0,0,4,0,0,0,3,0,0
TDU_consensed_contig_6165|TPR_consensed_contig_74589,0,0,644,1406,0,0,374,506,0,0
TDU_consensed_contig_63721|TPR_consensed_contig_15160,638,101,15,5,60,46,2,32,39,34
TDU_consensed_contig_4784|TPR_consensed_contig_100829,1283,212,1,30,178,135,7,11,105,80
TDU_consensed_contig_37031|TPR_consensed_contig_55762,27,0,1025,221,6,3,668,128,1,0
TDU_consensed_contig_19150|TPR_consensed_contig_101665,0,0,0,41,0,0,0,17,0,0
TDU_consensed_contig_20714|TPR_consensed_contig_9740,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_39314|TPR_consensed_contig_13802,7411,1124,19,3,1248,28,31,9,620,40
TDU_consensed_contig_21959|TPR_consensed_contig_54355,55,29,15,1,88,50,68,3,192,26
